DTW|BFJ,|BFJ|CAN|PEK|DTW|
DTW|BHY,|BHY|CGO|PEK|DTW|
DTW|BNE,|BNE|CAN|PEK|DTW|
DTW|CGD,|CGD|PEK|DTW|
DTW|CGK,|CGK|CAN|PEK|DTW|
DTW|CGQ,|CGQ|PEK|DTW|
DTW|CIH,|CIH|PEK|DTW|
DTW|CNX,|CNX|CAN|PEK|DTW|
DTW|CZX,|CZX|SHE|PEK|DTW|
DTW|DAC,|DAC|IST|FRA|DTW|
DTW|DAD,|DAD|CAN|PEK|DTW|
DTW|DEL,|DEL|EWR|DTW|
DTW|DIG,|DIG|KMG|PEK|DTW|
DTW|DLC,|DLC|PEK|DTW|
DTW|DPS,|DPS|SZX|PEK|DTW|
DTW|DXB,|DXB|IST|FRA|DTW|
DTW|DYG,|DYG|PEK|DTW|
DTW|FUG,|FUG|CAN|PEK|DTW|
DTW|FUK,|FUK|ICN|YVR|ORD|DTW|
DTW|HAK,|HAK|PEK|DTW|
DTW|HAN,|HAN|PEK|DTW|
DTW|HDG,|HDG|CAN|PEK|DTW|
DTW|HET,|HET|DLC|PEK|DTW|
DTW|HFE,|HFE|XIY|PEK|DTW|
DTW|HJJ,|HJJ|CSX|PEK|DTW|
DTW|HKT,|HKT|KWE|PEK|DTW|
DTW|HRB,|HRB|PEK|DTW|
DTW|HZH,|HZH|CAN|PEK|DTW|
DTW|JIU,|JIU|CAN|PEK|DTW|
DTW|JJN,|JJN|PEK|DTW|
DTW|JNG,|JNG|CAN|PEK|DTW|
DTW|KHN,|KHN|DLC|PEK|DTW|
DTW|KIX,|KIX|SFO|ORD|DTW|
DTW|KOW,|KOW|PEK|DTW|
DTW|KTM,|KTM|IST|FRA|DTW|
DTW|KUL,|KUL|CAN|PEK|DTW|
DTW|KWE,|KWE|PEK|DTW|
DTW|KWL,|KWL|PEK|DTW|
DTW|LHW,|LHW|CGO|PEK|DTW|
DTW|LYA,|LYA|KHN|DLC|PEK|DTW|
DTW|LYG,|LYG|HSN|PEK|DTW|
DTW|LZH,|LZH|CAN|PEK|DTW|
DTW|MEL,|MEL|SYD|LAX|MDW|DTW|
DTW|MIG,|MIG|CSX|PEK|DTW|
DTW|MLE,|MLE|IST|FRA|DTW|
DTW|MNL,|MNL|XMN|PEK|DTW|
DTW|MXZ,|MXZ|CAN|PEK|DTW|
DTW|NAO,|NAO|PEK|DTW|
DTW|NGB,|NGB|PEK|DTW|
DTW|NKG,|NKG|DLC|PEK|DTW|
DTW|NNY,|NNY|CGO|PEK|DTW|
DTW|PEN,|PEN|CAN|PEK|DTW|
DTW|PER,|PER|CAN|PEK|DTW|
DTW|PNH,|PNH|CAN|PEK|DTW|
DTW|REP,|REP|CAN|PEK|DTW|
DTW|RGN,|RGN|CAN|PEK|DTW|
DTW|SGN,|SGN|CAN|PEK|DTW|
DTW|SHA,|SHA|PEK|DTW|
DTW|SIN,|SIN|CAN|PEK|DTW|
DTW|SVO,|SVO|URC|TSE|FRA|DTW|
DTW|SYX,|SYX|PEK|DTW|
DTW|TAO,|TAO|DLC|PEK|DTW|
DTW|TEN,|TEN|PEK|DTW|
DTW|TNA,|TNA|DLC|PEK|DTW|
DTW|TPE,|TPE|PVG|DTW|
DTW|TSN,|TSN|DLC|PEK|DTW|
DTW|TXN,|TXN|DLC|PEK|DTW|
DTW|TYN,|TYN|DAT|CIH|PEK|DTW|
DTW|WNZ,|WNZ|CGO|PEK|DTW|
DTW|WUX,|WUX|CAN|PEK|DTW|
DTW|XFN,|XFN|XMN|PEK|DTW|
DTW|XIY,|XIY|PEK|DTW|
DTW|XUZ,|XUZ|LYG|HSN|PEK|DTW|
DTW|YIH,|YIH|CKG|PEK|DTW|
DTW|YIW,|YIW|PEK|DTW|
DTW|YNT,|YNT|SHE|PEK|DTW|
DTW|YNZ,|YNZ|DLC|PEK|DTW|
DTW|YTY,|YTY|DLC|PEK|DTW|
DTW|ZHA,|ZHA|CAN|PEK|DTW|
DTW|ZYI,|ZYI|PEK|DTW|
DTW|BAV,|BAV|CGO|PEK|DTW|
DTW|CJU,|CJU|DLC|PEK|DTW|
DTW|DSN,|DSN|CGO|PEK|DTW|
DTW|HMI,|HMI|URC|TSE|FRA|DTW|
DTW|INC,|INC|PEK|DTW|
DTW|KHH,|KHH|CGO|PEK|DTW|
DTW|UYN,|UYN|CGO|PEK|DTW|
DTW|XNN,|XNN|PEK|DTW|
DTW|ZUH,|ZUH|PEK|DTW|
DTW|YNJ,|YNJ|PEK|DTW|
DTW|DAT,|DAT|CIH|PEK|DTW|
DTW|JHG,|JHG|CKG|PEK|DTW|
DTW|LJG,|LJG|CKG|PEK|DTW|
DTW|LXA,|LXA|XIY|PEK|DTW|
DTW|YCU,|YCU|CSX|PEK|DTW|
DTW|LZO,|LZO|CSX|PEK|DTW|
DTW|MDG,|MDG|DLC|PEK|DTW|
DTW|NGO,|NGO|ICN|YVR|ORD|DTW|
DTW|TOY,|TOY|DLC|PEK|DTW|
DTW|MFM,|MFM|XMN|PEK|DTW|
DTW|TGO,|TGO|HET|DLC|PEK|DTW|
DTW|XIL,|XIL|HET|DLC|PEK|DTW|
DTW|HEK,|HEK|HRB|PEK|DTW|
DTW|KIJ,|KIJ|HRB|PEK|DTW|
DTW|LDS,|LDS|HRB|PEK|DTW|
DTW|OHE,|OHE|HRB|PEK|DTW|
DTW|HSN,|HSN|PEK|DTW|
DTW|DLU,|DLU|KMG|PEK|DTW|
DTW|SYM,|SYM|KMG|PEK|DTW|
DTW|ZAT,|ZAT|KMG|PEK|DTW|
DTW|LUN,|LUN|NBO|ZRH|YYZ|DTW|
DTW|AOG,|AOG|PEK|DTW|
DTW|GMP,|GMP|PEK|DTW|
DTW|ISB,|ISB|IST|FRA|DTW|
DTW|TAS,|TAS|IST|FRA|DTW|
DTW|WUS,|WUS|PEK|DTW|
DTW|JMU,|JMU|PVG|DTW|
DTW|NDG,|NDG|PVG|DTW|
DTW|JXA,|JXA|SHE|PEK|DTW|
DTW|PUS,|PUS|SHE|PEK|DTW|
DTW|BKI,|BKI|SZX|PEK|DTW|
DTW|AKU,|AKU|URC|TSE|FRA|DTW|
DTW|ALA,|ALA|TSE|FRA|DTW|
DTW|ASB,|ASB|GYD|FRA|DTW|
DTW|DNH,|DNH|XIY|PEK|DTW|
DTW|DYU,|DYU|IST|FRA|DTW|
DTW|FRU,|FRU|IST|FRA|DTW|
DTW|GYD,|GYD|FRA|DTW|
DTW|HTN,|HTN|URC|TSE|FRA|DTW|
DTW|IKA,|IKA|SAW|VIE|YYZ|DTW|
DTW|KCA,|KCA|URC|TSE|FRA|DTW|
DTW|KHG,|KHG|URC|TSE|FRA|DTW|
DTW|KRL,|KRL|URC|TSE|FRA|DTW|
DTW|KRY,|KRY|URC|TSE|FRA|DTW|
DTW|LBD,|LBD|URC|TSE|FRA|DTW|
DTW|NLT,|NLT|URC|TSE|FRA|DTW|
DTW|OSS,|OSS|IST|FRA|DTW|
DTW|OVB,|OVB|IST|FRA|DTW|
DTW|TBS,|TBS|SAW|VIE|YYZ|DTW|
DTW|TCG,|TCG|URC|TSE|FRA|DTW|
DTW|TSE,|TSE|FRA|DTW|
DTW|YIN,|YIN|URC|TSE|FRA|DTW|
DTW|ENH,|ENH|WUH|PEK|DTW|
DTW|ENY,|ENY|XIY|PEK|DTW|
DTW|WXN,|WXN|XIY|PEK|DTW|
DTW|BLL,|BLL|IST|FRA|DTW|
DTW|ESB,|ESB|VIE|YYZ|DTW|
DTW|SAW,|SAW|VIE|YYZ|DTW|
DTW|HAM,|HAM|EWR|DTW|
DTW|HRE,|HRE|ADD|JED|FRA|DTW|
DTW|JUB,|JUB|CAI|IST|FRA|DTW|
DTW|SSG,|SSG|DLA|BRU|YUL|YYZ|DTW|
DTW|BGW,|BGW|ESB|VIE|YYZ|DTW|
DTW|EBL,|EBL|IST|FRA|DTW|
