ARN|DUJ,|DUJ|CLE|EWR|ARN|
ARN|ERI,|ERI|CLE|EWR|ARN|
ARN|FKL,|FKL|CLE|EWR|ARN|
ARN|FNT,|FNT|CLE|EWR|ARN|
ARN|GRR,|GRR|EWR|ARN|
ARN|GSP,|GSP|EWR|ARN|
ARN|PBI,|PBI|EWR|ARN|
ARN|PKB,|PKB|CLE|EWR|ARN|
ARN|RIC,|RIC|EWR|ARN|
ARN|SDF,|SDF|EWR|ARN|
ARN|GUM,|GUM|FUK|ICN|IST|ARN|
ARN|WRL,|WRL|CYS|DEN|EWR|ARN|
ARN|LBL,|ARN|
ARN|ABQ,|ABQ|MCI|EWR|ARN|
ARN|AIA,|AIA|DEN|EWR|ARN|
ARN|ALS,|ALS|DEN|EWR|ARN|
ARN|AMA,|AMA|DAL|LIT|BWI|EWR|ARN|
ARN|ANC,|ANC|ORD|EWR|ARN|
ARN|ASE,|ASE|DEN|EWR|ARN|
ARN|BFL,|BFL|DEN|EWR|ARN|
ARN|BHM,|BHM|BWI|EWR|ARN|
ARN|BIL,|BIL|DEN|EWR|ARN|
ARN|BIS,|BIS|DEN|EWR|ARN|
ARN|BOI,|BOI|ORD|EWR|ARN|
ARN|BUR,|BUR|LAS|EWR|ARN|
ARN|BZN,|BZN|ORD|EWR|ARN|
ARN|CID,|CID|ORD|EWR|ARN|
ARN|COD,|COD|DEN|EWR|ARN|
ARN|COS,|COS|ORD|EWR|ARN|
ARN|CPR,|CPR|DEN|EWR|ARN|
ARN|CYS,|CYS|DEN|EWR|ARN|
ARN|DIK,|DIK|DEN|EWR|ARN|
ARN|DRO,|DRO|DEN|EWR|ARN|
ARN|DSM,|DSM|EWR|ARN|
ARN|EGE,|EGE|DEN|EWR|ARN|
ARN|ELP,|ELP|DAL|LIT|BWI|EWR|ARN|
ARN|EUG,|EUG|PDX|EWR|ARN|
ARN|FAR,|FAR|ORD|EWR|ARN|
