BKK|CKG,|CKG|NNG|BKK|
BKK|KMG,|KMG|NNG|BKK|
BKK|FOC,|FOC|BKK|
BKK|NNG,|NNG|BKK|
BKK|SWA,|SWA|BKK|
BKK|ACX,|ACX|CAN|BKK|
BKK|AQG,|AQG|CAN|BKK|
BKK|AVA,|AVA|CAN|BKK|
BKK|BFJ,|BFJ|CAN|BKK|
BKK|BHY,|BHY|CAN|BKK|
BKK|BNE,|BNE|BKK|
BKK|CGD,|CGD|CAN|BKK|
BKK|CGK,|CGK|CAN|BKK|
BKK|CGQ,|CGQ|CGO|BKK|
BKK|CIH,|CIH|CAN|BKK|
BKK|CNX,|CNX|CAN|BKK|
BKK|CZX,|CZX|CSX|BKK|
BKK|DAC,|DAC|CAN|BKK|
BKK|DAD,|DAD|CAN|BKK|
BKK|DEL,|DEL|CAN|BKK|
BKK|DIG,|DIG|KMG|NNG|BKK|
BKK|DLC,|DLC|WUH|BKK|
BKK|DPS,|DPS|CAN|BKK|
BKK|DXB,|DXB|CAN|BKK|
BKK|DYG,|DYG|CSX|BKK|
BKK|FUG,|FUG|CAN|BKK|
BKK|FUK,|FUK|CAN|BKK|
BKK|HAK,|HAK|NNG|BKK|
BKK|HAN,|HAN|CAN|BKK|
BKK|HDG,|HDG|CAN|BKK|
BKK|HET,|HET|CSX|BKK|
BKK|HFE,|HFE|CSX|BKK|
BKK|HJJ,|HJJ|CAN|BKK|
BKK|HKT,|HKT|KWE|NNG|BKK|
BKK|HRB,|HRB|CGO|BKK|
BKK|HZH,|HZH|CAN|BKK|
BKK|JIU,|JIU|CAN|BKK|
BKK|JJN,|JJN|CAN|BKK|
BKK|JNG,|JNG|CAN|BKK|
BKK|KHN,|KHN|NNG|BKK|
BKK|KIX,|KIX|CAN|BKK|
BKK|KOW,|KOW|CAN|BKK|
BKK|KTM,|KTM|CAN|BKK|
BKK|KUL,|KUL|BKK|
BKK|KWE,|KWE|NNG|BKK|
BKK|KWL,|KWL|NNG|BKK|
BKK|LHW,|LHW|KMG|NNG|BKK|
BKK|LYA,|LYA|CAN|BKK|
BKK|LYG,|LYG|CAN|BKK|
BKK|LZH,|LZH|CAN|BKK|
BKK|MEL,|MEL|BKK|
BKK|MIG,|MIG|CAN|BKK|
BKK|MLE,|MLE|CAN|BKK|
BKK|MNL,|MNL|CAN|BKK|
BKK|MXZ,|MXZ|HKG|BKK|
BKK|NAO,|NAO|CAN|BKK|
BKK|NGB,|NGB|CAN|BKK|
BKK|NKG,|NKG|KHN|NNG|BKK|
BKK|NNY,|NNY|CAN|BKK|
BKK|PEN,|PEN|CAN|BKK|
BKK|PER,|PER|BKK|
BKK|PNH,|PNH|CAN|BKK|
BKK|REP,|REP|CAN|BKK|
BKK|RGN,|RGN|CAN|BKK|
BKK|SGN,|SGN|BKK|
BKK|SHA,|SHA|NNG|BKK|
BKK|SIN,|SIN|HKG|BKK|
BKK|SVO,|SVO|URC|KWE|NNG|BKK|
BKK|SYX,|SYX|CAN|BKK|
BKK|TAO,|TAO|WUH|BKK|
BKK|TEN,|TEN|CAN|BKK|
BKK|TNA,|TNA|KWL|NNG|BKK|
BKK|TPE,|TPE|CAN|BKK|
BKK|TSN,|TSN|WUH|BKK|
BKK|TXN,|TXN|CAN|BKK|
BKK|TYN,|TYN|XIY|KWE|NNG|BKK|
BKK|WNZ,|WNZ|CAN|BKK|
BKK|WUX,|WUX|CAN|BKK|
BKK|XFN,|XFN|CAN|BKK|
BKK|XIY,|XIY|KWE|NNG|BKK|
BKK|XUZ,|XUZ|CAN|BKK|
BKK|YIH,|YIH|CAN|BKK|
BKK|YIW,|YIW|CAN|BKK|
BKK|YNT,|YNT|CSX|BKK|
BKK|YNZ,|YNZ|WUH|BKK|
BKK|YTY,|YTY|CSX|BKK|
BKK|ZHA,|ZHA|CAN|BKK|
BKK|ZYI,|ZYI|CAN|BKK|
BKK|BAV,|BAV|CGO|BKK|
BKK|CJU,|CJU|CSX|BKK|
BKK|DSN,|DSN|CGO|BKK|
BKK|HMI,|HMI|CGO|BKK|
BKK|INC,|INC|XIY|KWE|NNG|BKK|
BKK|KHH,|KHH|WUH|BKK|
BKK|UYN,|UYN|XIY|KWE|NNG|BKK|
BKK|XNN,|XNN|KWE|NNG|BKK|
BKK|ZUH,|ZUH|HAK|NNG|BKK|
BKK|YNJ,|YNJ|DLC|WUH|BKK|
BKK|DAT,|DAT|TYN|XIY|KWE|NNG|BKK|
BKK|JHG,|JHG|KMG|NNG|BKK|
BKK|LJG,|LJG|KMG|NNG|BKK|
BKK|LXA,|LXA|CKG|NNG|BKK|
BKK|YCU,|YCU|CKG|NNG|BKK|
BKK|LZO,|LZO|CSX|BKK|
BKK|MDG,|MDG|DLC|WUH|BKK|
BKK|NGO,|NGO|PVG|CAN|BKK|
BKK|TOY,|TOY|DLC|WUH|BKK|
BKK|MFM,|MFM|XMN|BKK|
BKK|TGO,|TGO|HET|CSX|BKK|
BKK|XIL,|XIL|HET|CSX|BKK|
BKK|HEK,|HEK|HRB|CGO|BKK|
BKK|KIJ,|KIJ|HRB|CGO|BKK|
BKK|LDS,|LDS|HRB|CGO|BKK|
BKK|OHE,|OHE|HRB|CGO|BKK|
BKK|HSN,|HSN|XMN|BKK|
BKK|DLU,|DLU|KMG|NNG|BKK|
BKK|SYM,|SYM|KMG|NNG|BKK|
BKK|ZAT,|ZAT|KMG|NNG|BKK|
