HDG|SAN,|SAN|LAX|CAN|HDG|
HDG|SJO,|SJO|IAH|YVR|CAN|HDG|
HDG|STL,|STL|ORD|PEK|CAN|HDG|
HDG|SYR,|SYR|YYZ|PEK|CAN|HDG|
HDG|TLV,|TLV|IST|CAN|HDG|
HDG|TPA,|TPA|ORD|PEK|CAN|HDG|
HDG|UVF,|UVF|EWR|PEK|CAN|HDG|
HDG|VIE,|VIE|IST|CAN|HDG|
HDG|YAM,|YAM|YYZ|PEK|CAN|HDG|
HDG|YGK,|YGK|YYZ|PEK|CAN|HDG|
HDG|YQG,|YQG|YYZ|PEK|CAN|HDG|
HDG|YSB,|YSB|YYZ|PEK|CAN|HDG|
HDG|YTS,|YTS|YYZ|PEK|CAN|HDG|
HDG|YYB,|YYB|YYZ|PEK|CAN|HDG|
HDG|YZR,|YZR|YYZ|PEK|CAN|HDG|
HDG|CAN,|CAN|HDG|
HDG|URC,|URC|CAN|HDG|
HDG|CTU,|CTU|CAN|HDG|
HDG|HGH,|HGH|CAN|HDG|
HDG|XMN,|XMN|CAN|HDG|
HDG|CGO,|CGO|CAN|HDG|
HDG|CSX,|CSX|CAN|HDG|
HDG|SHE,|SHE|CAN|HDG|
HDG|SJW,|SJW|CAN|HDG|
HDG|WUH,|WUH|CAN|HDG|
HDG|SZX,|SZX|MXZ|CAN|HDG|
HDG|CKG,|CKG|CAN|HDG|
HDG|KMG,|KMG|CAN|HDG|
HDG|FOC,|FOC|CAN|HDG|
HDG|NNG,|NNG|CAN|HDG|
HDG|SWA,|SWA|CAN|HDG|
HDG|ACX,|ACX|CAN|HDG|
HDG|AQG,|AQG|CAN|HDG|
HDG|AVA,|AVA|CAN|HDG|
HDG|BFJ,|BFJ|CAN|HDG|
HDG|BHY,|BHY|CAN|HDG|
HDG|BNE,|BNE|CAN|HDG|
HDG|CGD,|CGD|CAN|HDG|
HDG|CGK,|CGK|CAN|HDG|
HDG|CGQ,|CGQ|CAN|HDG|
HDG|CIH,|CIH|CAN|HDG|
HDG|CNX,|CNX|CAN|HDG|
HDG|CZX,|CZX|CAN|HDG|
HDG|DAC,|DAC|CAN|HDG|
HDG|DAD,|DAD|CAN|HDG|
HDG|DEL,|DEL|CAN|HDG|
HDG|DIG,|DIG|CAN|HDG|
HDG|DLC,|DLC|CAN|HDG|
HDG|DPS,|DPS|CAN|HDG|
HDG|DXB,|DXB|CAN|HDG|
HDG|DYG,|DYG|CAN|HDG|
HDG|FUG,|FUG|CAN|HDG|
HDG|FUK,|FUK|CAN|HDG|
HDG|HAK,|HAK|CAN|HDG|
HDG|HAN,|HAN|CAN|HDG|
HDG|HET,|HET|CAN|HDG|
HDG|HFE,|HFE|CAN|HDG|
HDG|HJJ,|HJJ|CAN|HDG|
HDG|HKT,|HKT|CAN|HDG|
HDG|HRB,|HRB|CAN|HDG|
HDG|HZH,|HZH|CAN|HDG|
HDG|JIU,|JIU|CAN|HDG|
HDG|JJN,|JJN|CAN|HDG|
HDG|JNG,|JNG|CAN|HDG|
HDG|KHN,|KHN|CAN|HDG|
HDG|KIX,|KIX|CAN|HDG|
HDG|KOW,|KOW|CAN|HDG|
HDG|KTM,|KTM|CAN|HDG|
HDG|KUL,|KUL|CAN|HDG|
HDG|KWE,|KWE|CAN|HDG|
HDG|KWL,|KWL|CAN|HDG|
HDG|LHW,|LHW|CAN|HDG|
HDG|LYA,|LYA|CAN|HDG|
HDG|LYG,|LYG|CAN|HDG|
HDG|LZH,|LZH|CAN|HDG|
HDG|MEL,|MEL|CAN|HDG|
HDG|MIG,|MIG|CAN|HDG|
HDG|MLE,|MLE|CAN|HDG|
HDG|MNL,|MNL|CAN|HDG|
HDG|MXZ,|MXZ|CAN|HDG|
HDG|NAO,|NAO|CAN|HDG|
HDG|NGB,|NGB|CAN|HDG|
HDG|NKG,|NKG|CAN|HDG|
HDG|NNY,|NNY|CAN|HDG|
HDG|PEN,|PEN|CAN|HDG|
HDG|PER,|PER|CAN|HDG|
HDG|PNH,|PNH|CAN|HDG|
HDG|REP,|REP|CAN|HDG|
HDG|RGN,|RGN|CAN|HDG|
HDG|SGN,|SGN|CAN|HDG|
HDG|SHA,|SHA|CAN|HDG|
HDG|SIN,|SIN|CAN|HDG|
HDG|SVO,|SVO|CAN|HDG|
HDG|SYX,|SYX|CAN|HDG|
HDG|TAO,|TAO|CAN|HDG|
HDG|TEN,|TEN|CAN|HDG|
HDG|TNA,|TNA|CAN|HDG|
HDG|TPE,|TPE|CAN|HDG|
HDG|TSN,|TSN|CAN|HDG|
HDG|TXN,|TXN|CAN|HDG|
HDG|TYN,|TYN|CAN|HDG|
HDG|WNZ,|WNZ|CAN|HDG|
HDG|WUX,|WUX|CAN|HDG|
HDG|XFN,|XFN|CAN|HDG|
HDG|XIY,|XIY|CAN|HDG|
HDG|XUZ,|XUZ|CAN|HDG|
HDG|YIH,|YIH|CAN|HDG|
HDG|YIW,|YIW|CAN|HDG|
HDG|YNT,|YNT|CAN|HDG|
HDG|YNZ,|YNZ|CAN|HDG|
HDG|YTY,|YTY|CAN|HDG|
HDG|ZHA,|ZHA|CAN|HDG|
HDG|ZYI,|ZYI|CAN|HDG|
HDG|BAV,|BAV|CSX|CAN|HDG|
HDG|CJU,|CJU|CSX|CAN|HDG|
HDG|DSN,|DSN|CGO|CAN|HDG|
HDG|HMI,|HMI|CGO|CAN|HDG|
HDG|INC,|INC|XIY|CAN|HDG|
HDG|KHH,|KHH|WUH|CAN|HDG|
HDG|UYN,|UYN|XIY|CAN|HDG|
HDG|XNN,|XNN|CKG|CAN|HDG|
HDG|ZUH,|ZUH|MXZ|CAN|HDG|
HDG|YNJ,|YNJ|ICN|CAN|HDG|
HDG|DAT,|DAT|CIH|CAN|HDG|
HDG|JHG,|JHG|KMG|CAN|HDG|
HDG|LJG,|LJG|KMG|CAN|HDG|
HDG|LXA,|LXA|CKG|CAN|HDG|
HDG|YCU,|YCU|CSX|CAN|HDG|
HDG|LZO,|LZO|CSX|CAN|HDG|
HDG|MDG,|MDG|DLC|CAN|HDG|
HDG|NGO,|NGO|PVG|CAN|HDG|
HDG|TOY,|TOY|DLC|CAN|HDG|
HDG|MFM,|MFM|XMN|CAN|HDG|
HDG|TGO,|TGO|HET|CAN|HDG|
HDG|XIL,|XIL|HET|CAN|HDG|
HDG|HEK,|HEK|HRB|CAN|HDG|
HDG|KIJ,|KIJ|HRB|CAN|HDG|
HDG|LDS,|LDS|HRB|CAN|HDG|
HDG|OHE,|OHE|HRB|CAN|HDG|
HDG|HSN,|HSN|XMN|CAN|HDG|
HDG|DLU,|DLU|KMG|CAN|HDG|
HDG|SYM,|SYM|KMG|CAN|HDG|
HDG|ZAT,|ZAT|KMG|CAN|HDG|
HDG|LUN,|LUN|NBO|CAN|HDG|
HDG|AOG,|AOG|PEK|CAN|HDG|
HDG|GMP,|GMP|PEK|CAN|HDG|
HDG|ISB,|ISB|URC|CAN|HDG|
HDG|TAS,|TAS|URC|CAN|HDG|
HDG|WUS,|WUS|PEK|CAN|HDG|
HDG|JMU,|JMU|PVG|CAN|HDG|
HDG|NDG,|NDG|PVG|CAN|HDG|
HDG|JXA,|JXA|SHE|CAN|HDG|
HDG|PUS,|PUS|SHE|CAN|HDG|
HDG|BKI,|BKI|SZX|MXZ|CAN|HDG|
HDG|AKU,|AKU|URC|CAN|HDG|
HDG|ALA,|ALA|URC|CAN|HDG|
HDG|ASB,|ASB|URC|CAN|HDG|
HDG|DNH,|DNH|XIY|CAN|HDG|
HDG|DYU,|DYU|URC|CAN|HDG|
HDG|FRU,|FRU|URC|CAN|HDG|
HDG|GYD,|GYD|URC|CAN|HDG|
HDG|HTN,|HTN|URC|CAN|HDG|
HDG|IKA,|IKA|URC|CAN|HDG|
HDG|KCA,|KCA|URC|CAN|HDG|
HDG|KHG,|KHG|URC|CAN|HDG|
HDG|KRL,|KRL|URC|CAN|HDG|
HDG|KRY,|KRY|URC|CAN|HDG|
HDG|LBD,|LBD|URC|CAN|HDG|
HDG|NLT,|NLT|URC|CAN|HDG|
HDG|OSS,|OSS|URC|CAN|HDG|
HDG|OVB,|OVB|URC|CAN|HDG|
HDG|TBS,|TBS|URC|CAN|HDG|
