FCO|CVG,|CVG|YYZ|FCO|
FCO|DFW,|DFW|YYZ|FCO|
FCO|DTW,|DTW|YYZ|FCO|
FCO|DUB,|DUB|IST|FCO|
FCO|GCM,|GCM|EWR|FCO|
FCO|GGT,|GGT|FLL|EWR|FCO|
FCO|GND,|GND|YYZ|FCO|
FCO|GRU,|GRU|IST|FCO|
FCO|HAV,|HAV|YYZ|FCO|
FCO|IND,|IND|YYZ|FCO|
FCO|JFK,|JFK|IAD|FCO|
FCO|KIN,|KIN|YYZ|FCO|
FCO|LIM,|LIM|EWR|FCO|
FCO|LIR,|LIR|EWR|FCO|
FCO|MCI,|MCI|YYZ|FCO|
FCO|MDT,|MDT|IAD|FCO|
FCO|MIA,|MIA|EWR|FCO|
FCO|MKE,|MKE|YYZ|FCO|
FCO|MSP,|MSP|YYZ|FCO|
FCO|NAS,|NAS|EWR|FCO|
FCO|PHL,|PHL|IAD|FCO|
FCO|PHX,|PHX|YYZ|FCO|
FCO|PIT,|PIT|EWR|FCO|
FCO|PLS,|PLS|EWR|FCO|
FCO|POP,|POP|EWR|FCO|
FCO|RDU,|RDU|EWR|FCO|
FCO|ROC,|ROC|YYZ|FCO|
FCO|RSW,|RSW|EWR|FCO|
FCO|SAN,|SAN|YYZ|FCO|
FCO|SJO,|SJO|EWR|FCO|
FCO|STL,|STL|YYZ|FCO|
FCO|SYR,|SYR|EWR|FCO|
FCO|TLV,|TLV|IST|FCO|
FCO|TPA,|TPA|EWR|FCO|
FCO|UVF,|UVF|EWR|FCO|
FCO|VIE,|VIE|IST|FCO|
FCO|YAM,|YAM|YYZ|FCO|
FCO|YGK,|YGK|YYZ|FCO|
FCO|YQG,|YQG|YYZ|FCO|
FCO|YSB,|YSB|YYZ|FCO|
FCO|YTS,|YTS|YYZ|FCO|
FCO|YYB,|YYB|YYZ|FCO|
FCO|YZR,|YZR|YYZ|FCO|
FCO|CAN,|CAN|IST|FCO|
FCO|URC,|URC|IST|FCO|
FCO|CTU,|CTU|URC|IST|FCO|
FCO|HGH,|HGH|URC|IST|FCO|
FCO|XMN,|XMN|CSX|URC|IST|FCO|
FCO|CGO,|CGO|URC|IST|FCO|
FCO|CSX,|CSX|URC|IST|FCO|
FCO|SHE,|SHE|PEK|IST|FCO|
FCO|SJW,|SJW|URC|IST|FCO|
FCO|WUH,|WUH|URC|IST|FCO|
FCO|SZX,|SZX|CKG|URC|IST|FCO|
FCO|CKG,|CKG|URC|IST|FCO|
FCO|KMG,|KMG|CTU|URC|IST|FCO|
FCO|FOC,|FOC|XIY|URC|IST|FCO|
FCO|NNG,|NNG|KWE|URC|IST|FCO|
FCO|SWA,|SWA|CAN|IST|FCO|
FCO|ACX,|ACX|CAN|IST|FCO|
FCO|AQG,|AQG|CAN|IST|FCO|
FCO|AVA,|AVA|CAN|IST|FCO|
FCO|BFJ,|BFJ|CAN|IST|FCO|
FCO|BHY,|BHY|CKG|URC|IST|FCO|
FCO|BNE,|BNE|BKK|IST|FCO|
FCO|CGD,|CGD|PEK|IST|FCO|
FCO|CGK,|CGK|SIN|IST|FCO|
FCO|CGQ,|CGQ|HET|URC|IST|FCO|
FCO|CIH,|CIH|PEK|IST|FCO|
FCO|CNX,|CNX|CAN|IST|FCO|
FCO|CZX,|CZX|TYN|URC|IST|FCO|
FCO|DAC,|DAC|IST|FCO|
FCO|DAD,|DAD|CAN|IST|FCO|
FCO|DEL,|DEL|IST|FCO|
FCO|DIG,|DIG|KMG|CTU|URC|IST|FCO|
FCO|DLC,|DLC|PEK|IST|FCO|
FCO|DPS,|DPS|CAN|IST|FCO|
FCO|DXB,|DXB|IST|FCO|
FCO|DYG,|DYG|CSX|URC|IST|FCO|
FCO|FUG,|FUG|CAN|IST|FCO|
FCO|FUK,|FUK|ICN|IST|FCO|
FCO|HAK,|HAK|CTU|URC|IST|FCO|
FCO|HAN,|HAN|CAN|IST|FCO|
FCO|HDG,|HDG|CAN|IST|FCO|
FCO|HET,|HET|URC|IST|FCO|
FCO|HFE,|HFE|XIY|URC|IST|FCO|
FCO|HJJ,|HJJ|CSX|URC|IST|FCO|
FCO|HKT,|HKT|KWE|URC|IST|FCO|
FCO|HRB,|HRB|PEK|IST|FCO|
FCO|HZH,|HZH|CAN|IST|FCO|
FCO|JIU,|JIU|CAN|IST|FCO|
FCO|JJN,|JJN|CSX|URC|IST|FCO|
FCO|JNG,|JNG|CAN|IST|FCO|
FCO|KHN,|KHN|XIY|URC|IST|FCO|
FCO|KIX,|KIX|IST|FCO|
FCO|KOW,|KOW|CAN|IST|FCO|
FCO|KTM,|KTM|IST|FCO|
FCO|KUL,|KUL|IST|FCO|
FCO|KWE,|KWE|URC|IST|FCO|
FCO|KWL,|KWL|CKG|URC|IST|FCO|
FCO|LHW,|LHW|URC|IST|FCO|
FCO|LYA,|LYA|KHN|XIY|URC|IST|FCO|
FCO|LYG,|LYG|XUZ|INC|URC|IST|FCO|
FCO|LZH,|LZH|CAN|IST|FCO|
FCO|MEL,|MEL|BKK|IST|FCO|
FCO|MIG,|MIG|CSX|URC|IST|FCO|
