CLE|KHN,|KHN|DLC|PEK|YYZ|CLE|
CLE|KIX,|KIX|SFO|CLE|
CLE|KOW,|KOW|PEK|YYZ|CLE|
CLE|KTM,|KTM|IST|YYZ|CLE|
CLE|KUL,|KUL|CAN|PEK|YYZ|CLE|
CLE|KWE,|KWE|PEK|YYZ|CLE|
CLE|KWL,|KWL|PEK|YYZ|CLE|
CLE|LHW,|LHW|CGO|PEK|YYZ|CLE|
CLE|LYA,|LYA|KHN|DLC|PEK|YYZ|CLE|
CLE|LYG,|LYG|HSN|PEK|YYZ|CLE|
CLE|LZH,|LZH|CAN|PEK|YYZ|CLE|
CLE|MEL,|MEL|SYD|LAX|CLE|
CLE|MIG,|MIG|CSX|PEK|YYZ|CLE|
CLE|MLE,|MLE|IST|YYZ|CLE|
CLE|MNL,|MNL|XMN|PEK|YYZ|CLE|
CLE|MXZ,|MXZ|CAN|PEK|YYZ|CLE|
CLE|NAO,|NAO|PEK|YYZ|CLE|
CLE|NGB,|NGB|PEK|YYZ|CLE|
CLE|NKG,|NKG|DLC|PEK|YYZ|CLE|
CLE|NNY,|NNY|CGO|PEK|YYZ|CLE|
CLE|PEN,|PEN|CAN|PEK|YYZ|CLE|
CLE|PER,|PER|CAN|PEK|YYZ|CLE|
CLE|PNH,|PNH|CAN|PEK|YYZ|CLE|
CLE|REP,|REP|CAN|PEK|YYZ|CLE|
CLE|RGN,|RGN|CAN|PEK|YYZ|CLE|
CLE|SGN,|SGN|CAN|PEK|YYZ|CLE|
CLE|SHA,|SHA|PEK|YYZ|CLE|
CLE|SIN,|SIN|CAN|PEK|YYZ|CLE|
CLE|SVO,|SVO|URC|TSE|FRA|YYZ|CLE|
CLE|SYX,|SYX|PEK|YYZ|CLE|
CLE|TAO,|TAO|DLC|PEK|YYZ|CLE|
CLE|TEN,|TEN|PEK|YYZ|CLE|
CLE|TNA,|TNA|DLC|PEK|YYZ|CLE|
CLE|TPE,|TPE|PVG|YYZ|CLE|
CLE|TSN,|TSN|DLC|PEK|YYZ|CLE|
CLE|TXN,|TXN|DLC|PEK|YYZ|CLE|
CLE|TYN,|TYN|DAT|CIH|PEK|YYZ|CLE|
CLE|WNZ,|WNZ|CGO|PEK|YYZ|CLE|
CLE|WUX,|WUX|CAN|PEK|YYZ|CLE|
CLE|XFN,|XFN|XMN|PEK|YYZ|CLE|
CLE|XIY,|XIY|PEK|YYZ|CLE|
CLE|XUZ,|XUZ|LYG|HSN|PEK|YYZ|CLE|
CLE|YIH,|YIH|CKG|PEK|YYZ|CLE|
CLE|YIW,|YIW|PEK|YYZ|CLE|
CLE|YNT,|YNT|SHE|PEK|YYZ|CLE|
CLE|YNZ,|YNZ|DLC|PEK|YYZ|CLE|
CLE|YTY,|YTY|DLC|PEK|YYZ|CLE|
CLE|ZHA,|ZHA|CAN|PEK|YYZ|CLE|
CLE|ZYI,|ZYI|PEK|YYZ|CLE|
CLE|BAV,|BAV|CGO|PEK|YYZ|CLE|
CLE|CJU,|CJU|DLC|PEK|YYZ|CLE|
CLE|DSN,|DSN|CGO|PEK|YYZ|CLE|
CLE|HMI,|HMI|URC|TSE|FRA|YYZ|CLE|
CLE|INC,|INC|PEK|YYZ|CLE|
