TPA|LXA,|LXA|XIY|PEK|ORD|TPA|
TPA|YCU,|YCU|CSX|PEK|ORD|TPA|
TPA|LZO,|LZO|CSX|PEK|ORD|TPA|
TPA|MDG,|MDG|ICN|YVR|DEN|TPA|
TPA|NGO,|NGO|ICN|YVR|DEN|TPA|
TPA|TOY,|TOY|DLC|PEK|ORD|TPA|
TPA|MFM,|MFM|XMN|PEK|ORD|TPA|
TPA|TGO,|TGO|HET|DLC|PEK|ORD|TPA|
TPA|XIL,|XIL|HET|DLC|PEK|ORD|TPA|
TPA|HEK,|HEK|HRB|PEK|ORD|TPA|
TPA|KIJ,|KIJ|HRB|PEK|ORD|TPA|
TPA|LDS,|LDS|HRB|PEK|ORD|TPA|
TPA|OHE,|OHE|HRB|PEK|ORD|TPA|
TPA|HSN,|HSN|PEK|ORD|TPA|
TPA|DLU,|DLU|KMG|PEK|ORD|TPA|
TPA|SYM,|SYM|KMG|PEK|ORD|TPA|
TPA|ZAT,|ZAT|KMG|PEK|ORD|TPA|
TPA|LUN,|LUN|NBO|ZRH|EWR|TPA|
TPA|AOG,|AOG|PEK|ORD|TPA|
TPA|GMP,|GMP|PEK|ORD|TPA|
TPA|ISB,|ISB|IST|BHX|EWR|TPA|
TPA|TAS,|TAS|IST|BHX|EWR|TPA|
TPA|WUS,|WUS|PEK|ORD|TPA|
TPA|JMU,|JMU|PVG|ORD|TPA|
TPA|NDG,|NDG|PVG|ORD|TPA|
TPA|JXA,|JXA|SHE|PEK|ORD|TPA|
TPA|PUS,|PUS|SHE|PEK|ORD|TPA|
TPA|BKI,|BKI|SZX|PEK|ORD|TPA|
TPA|AKU,|AKU|URC|TSE|FRA|EWR|TPA|
TPA|ALA,|ALA|TSE|FRA|EWR|TPA|
TPA|ASB,|ASB|GYD|FRA|EWR|TPA|
TPA|DNH,|DNH|URC|TSE|FRA|EWR|TPA|
TPA|DYU,|DYU|IST|BHX|EWR|TPA|
TPA|FRU,|FRU|IST|BHX|EWR|TPA|
TPA|GYD,|GYD|FRA|EWR|TPA|
TPA|HTN,|HTN|URC|TSE|FRA|EWR|TPA|
TPA|IKA,|IKA|SAW|FRA|EWR|TPA|
TPA|KCA,|KCA|URC|TSE|FRA|EWR|TPA|
TPA|KHG,|KHG|URC|TSE|FRA|EWR|TPA|
TPA|KRL,|KRL|URC|TSE|FRA|EWR|TPA|
TPA|KRY,|KRY|URC|TSE|FRA|EWR|TPA|
TPA|LBD,|LBD|URC|TSE|FRA|EWR|TPA|
TPA|NLT,|NLT|URC|TSE|FRA|EWR|TPA|
TPA|OSS,|OSS|IST|BHX|EWR|TPA|
TPA|OVB,|OVB|IST|BHX|EWR|TPA|
TPA|TBS,|TBS|SAW|FRA|EWR|TPA|
TPA|TCG,|TCG|URC|TSE|FRA|EWR|TPA|
TPA|TSE,|TSE|FRA|EWR|TPA|
TPA|YIN,|YIN|URC|TSE|FRA|EWR|TPA|
TPA|ENH,|ENH|WUH|PEK|ORD|TPA|
TPA|ENY,|ENY|XIY|PEK|ORD|TPA|
TPA|WXN,|WXN|XIY|PEK|ORD|TPA|
TPA|BLL,|BLL|IST|BHX|EWR|TPA|
TPA|ESB,|ESB|FRA|EWR|TPA|
TPA|SAW,|SAW|FRA|EWR|TPA|
TPA|HAM,|HAM|EWR|TPA|
TPA|HRE,|HRE|ADD|JED|FRA|EWR|TPA|
TPA|JUB,|JUB|CAI|JFK|IAD|TPA|
TPA|SSG,|SSG|DLA|BRU|EWR|TPA|
TPA|BGW,|BGW|ESB|FRA|EWR|TPA|
TPA|EBL,|EBL|IST|BHX|EWR|TPA|
TPA|VKO,|VKO|IST|BHX|EWR|TPA|
TPA|MCT,|MCT|IST|BHX|EWR|TPA|
TPA|AYT,|AYT|IST|BHX|EWR|TPA|
TPA|SCQ,|SCQ|BIO|IST|BHX|EWR|TPA|
TPA|AAL,|AAL|IST|BHX|EWR|TPA|
TPA|AOE,|AOE|BRU|EWR|TPA|
TPA|JNB,|JNB|DKR|IAD|TPA|
TPA|LBV,|LBV|DLA|BRU|EWR|TPA|
TPA|ADA,|ADA|SAW|FRA|EWR|TPA|
TPA|ADB,|ADB|HAM|EWR|TPA|
TPA|ADF,|ADF|ESB|FRA|EWR|TPA|
TPA|AJI,|AJI|ESB|FRA|EWR|TPA|
TPA|BAL,|BAL|ESB|FRA|EWR|TPA|
TPA|BJV,|BJV|IST|BHX|EWR|TPA|
TPA|CKZ,|CKZ|ESB|FRA|EWR|TPA|
