AMM|MQM,|MQM|IST|AMM|
AMM|MSR,|MSR|IST|AMM|
AMM|TEQ,|TEQ|ESB|IST|AMM|
AMM|TZX,|TZX|IST|AMM|
AMM|VAN,|VAN|IST|AMM|
AMM|ULN,|ULN|FRU|IST|AMM|
AMM|HIJ,|HIJ|ICN|IST|AMM|
AMM|VVO,|VVO|ICN|IST|AMM|
AMM|ACC,|ACC|IST|AMM|
AMM|AER,|AER|IST|AMM|
AMM|AGP,|AGP|IST|AMM|
AMM|ALG,|ALG|IST|AMM|
AMM|AQJ,|AQJ|IST|AMM|
AMM|ARN,|ARN|IST|AMM|
AMM|ASR,|ASR|IST|AMM|
AMM|ATH,|ATH|IST|AMM|
AMM|BAH,|BAH|IST|AMM|
AMM|BEG,|BEG|IST|AMM|
AMM|BEN,|BEN|IST|AMM|
AMM|BEY,|BEY|IST|AMM|
AMM|BHX,|BHX|IST|AMM|
AMM|BIO,|BIO|IST|AMM|
AMM|BLQ,|BLQ|IST|AMM|
AMM|BOM,|BOM|IST|AMM|
AMM|BRE,|BRE|IST|AMM|
AMM|BSL,|BSL|IST|AMM|
AMM|BSR,|BSR|IST|AMM|
AMM|BUD,|BUD|IST|AMM|
AMM|BUS,|BUS|IST|AMM|
AMM|CAI,|CAI|IST|AMM|
AMM|CGN,|CGN|IST|AMM|
AMM|CMN,|CMN|IST|AMM|
AMM|CND,|CND|IST|AMM|
AMM|DAR,|DAR|IST|AMM|
AMM|DLM,|DLM|IST|AMM|
AMM|DMM,|DMM|IST|AMM|
AMM|DNK,|DNK|IST|AMM|
AMM|DNZ,|DNZ|IST|AMM|
AMM|DOK,|DOK|IST|AMM|
AMM|DUS,|DUS|IST|AMM|
AMM|EDI,|EDI|IST|AMM|
AMM|ELQ,|ELQ|IST|AMM|
AMM|FDH,|FDH|IST|AMM|
AMM|GOA,|GOA|IST|AMM|
AMM|GOT,|GOT|IST|AMM|
AMM|HAJ,|HAJ|IST|AMM|
AMM|HBE,|HBE|IST|AMM|
AMM|HEL,|HEL|IST|AMM|
AMM|HRG,|HRG|IST|AMM|
AMM|IFN,|IFN|IST|AMM|
AMM|ISE,|ISE|IST|AMM|
AMM|ISU,|ISU|IST|AMM|
AMM|JIB,|JIB|IST|AMM|
AMM|JRO,|JRO|IST|AMM|
AMM|KAN,|KAN|IST|AMM|
AMM|KBL,|KBL|IST|AMM|
AMM|KBP,|KBP|IST|AMM|
AMM|KFS,|KFS|IST|AMM|
AMM|KHI,|KHI|IST|AMM|
AMM|KIV,|KIV|IST|AMM|
AMM|KRT,|KRT|IST|AMM|
AMM|KSH,|KSH|IST|AMM|
AMM|KVD,|KVD|IST|AMM|
AMM|KWI,|KWI|IST|AMM|
AMM|KYA,|KYA|IST|AMM|
AMM|KZN,|KZN|IST|AMM|
AMM|KZR,|KZR|IST|AMM|
AMM|LED,|LED|IST|AMM|
AMM|LEJ,|LEJ|IST|AMM|
AMM|LGW,|LGW|IST|AMM|
AMM|LHE,|LHE|IST|AMM|
AMM|LIS,|LIS|IST|AMM|
AMM|LJU,|LJU|IST|AMM|
AMM|LOS,|LOS|IST|AMM|
AMM|LUX,|LUX|IST|AMM|
AMM|LWO,|LWO|IST|AMM|
AMM|LYS,|LYS|IST|AMM|
AMM|MAD,|MAD|IST|AMM|
AMM|MAN,|MAN|IST|AMM|
AMM|MED,|MED|IST|AMM|
AMM|MHD,|MHD|IST|AMM|
AMM|MLA,|MLA|IST|AMM|
AMM|MRS,|MRS|IST|AMM|
AMM|MSQ,|MSQ|IST|AMM|
AMM|MXP,|MXP|IST|AMM|
AMM|MZH,|MZH|IST|AMM|
AMM|MZR,|MZR|IST|AMM|
AMM|NAJ,|NAJ|IST|AMM|
