TBZ|NNY,|NNY|CGO|URC|IST|TBZ|
TBZ|PEN,|PEN|CAN|IST|TBZ|
TBZ|PER,|PER|BKK|IST|TBZ|
TBZ|PNH,|PNH|CAN|IST|TBZ|
TBZ|REP,|REP|CAN|IST|TBZ|
TBZ|RGN,|RGN|CAN|IST|TBZ|
TBZ|SGN,|SGN|BKK|IST|TBZ|
TBZ|SHA,|SHA|URC|IST|TBZ|
TBZ|SIN,|SIN|IST|TBZ|
TBZ|SVO,|SVO|URC|IST|TBZ|
TBZ|SYX,|SYX|CKG|URC|IST|TBZ|
TBZ|TAO,|TAO|TYN|URC|IST|TBZ|
TBZ|TEN,|TEN|CAN|IST|TBZ|
TBZ|TNA,|TNA|URC|IST|TBZ|
TBZ|TPE,|TPE|URC|IST|TBZ|
TBZ|TSN,|TSN|HET|URC|IST|TBZ|
TBZ|TXN,|TXN|TYN|URC|IST|TBZ|
TBZ|TYN,|TYN|URC|IST|TBZ|
TBZ|WNZ,|WNZ|XIY|URC|IST|TBZ|
TBZ|WUX,|WUX|CAN|IST|TBZ|
TBZ|XFN,|XFN|CAN|IST|TBZ|
TBZ|XIY,|XIY|URC|IST|TBZ|
TBZ|XUZ,|XUZ|INC|URC|IST|TBZ|
TBZ|YIH,|YIH|CKG|URC|IST|TBZ|
TBZ|YIW,|YIW|URC|IST|TBZ|
TBZ|YNT,|YNT|SHE|PEK|IST|TBZ|
TBZ|YNZ,|YNZ|WUH|URC|IST|TBZ|
TBZ|YTY,|YTY|CGO|URC|IST|TBZ|
TBZ|ZHA,|ZHA|CAN|IST|TBZ|
TBZ|ZYI,|ZYI|CAN|IST|TBZ|
TBZ|BAV,|BAV|URC|IST|TBZ|
TBZ|CJU,|CJU|DLC|PEK|IST|TBZ|
TBZ|DSN,|DSN|CGO|URC|IST|TBZ|
TBZ|HMI,|HMI|URC|IST|TBZ|
TBZ|INC,|INC|URC|IST|TBZ|
TBZ|KHH,|KHH|WUH|URC|IST|TBZ|
TBZ|UYN,|UYN|XIY|URC|IST|TBZ|
TBZ|XNN,|XNN|URC|IST|TBZ|
TBZ|ZUH,|ZUH|KWE|URC|IST|TBZ|
TBZ|YNJ,|YNJ|PEK|IST|TBZ|
TBZ|DAT,|DAT|TYN|URC|IST|TBZ|
TBZ|JHG,|JHG|KMG|CTU|URC|IST|TBZ|
TBZ|LJG,|LJG|KMG|CTU|URC|IST|TBZ|
TBZ|LXA,|LXA|CKG|URC|IST|TBZ|
TBZ|YCU,|YCU|CKG|URC|IST|TBZ|
TBZ|LZO,|LZO|CSX|URC|IST|TBZ|
TBZ|MDG,|MDG|DLC|PEK|IST|TBZ|
TBZ|NGO,|NGO|ICN|IST|TBZ|
TBZ|TOY,|TOY|DLC|PEK|IST|TBZ|
TBZ|MFM,|MFM|XMN|CSX|URC|IST|TBZ|
TBZ|TGO,|TGO|HET|URC|IST|TBZ|
TBZ|XIL,|XIL|HET|URC|IST|TBZ|
TBZ|HEK,|HEK|HRB|PEK|IST|TBZ|
TBZ|KIJ,|KIJ|HRB|PEK|IST|TBZ|
TBZ|LDS,|LDS|HRB|PEK|IST|TBZ|
TBZ|OHE,|OHE|HRB|PEK|IST|TBZ|
TBZ|HSN,|HSN|LYG|XUZ|INC|URC|IST|TBZ|
TBZ|DLU,|DLU|KMG|CTU|URC|IST|TBZ|
TBZ|SYM,|SYM|KMG|CTU|URC|IST|TBZ|
TBZ|ZAT,|ZAT|KMG|CTU|URC|IST|TBZ|
TBZ|LUN,|LUN|NBO|IST|TBZ|
TBZ|AOG,|AOG|PEK|IST|TBZ|
TBZ|GMP,|GMP|PEK|IST|TBZ|
TBZ|ISB,|ISB|IST|TBZ|
TBZ|TAS,|TAS|IST|TBZ|
TBZ|WUS,|WUS|PEK|IST|TBZ|
TBZ|JMU,|JMU|PVG|IST|TBZ|
TBZ|NDG,|NDG|PVG|IST|TBZ|
TBZ|JXA,|JXA|SHE|PEK|IST|TBZ|
TBZ|PUS,|PUS|SHE|PEK|IST|TBZ|
TBZ|BKI,|BKI|SZX|CKG|URC|IST|TBZ|
TBZ|AKU,|AKU|URC|IST|TBZ|
TBZ|ALA,|ALA|IST|TBZ|
TBZ|ASB,|ASB|IST|TBZ|
TBZ|DNH,|DNH|URC|IST|TBZ|
TBZ|DYU,|DYU|IST|TBZ|
TBZ|FRU,|FRU|IST|TBZ|
TBZ|GYD,|GYD|IST|TBZ|
TBZ|HTN,|HTN|URC|IST|TBZ|
TBZ|IKA,|IKA|IST|TBZ|
TBZ|KCA,|KCA|URC|IST|TBZ|
TBZ|KHG,|KHG|URC|IST|TBZ|
TBZ|KRL,|KRL|URC|IST|TBZ|
TBZ|KRY,|KRY|URC|IST|TBZ|
TBZ|LBD,|LBD|URC|IST|TBZ|
TBZ|NLT,|NLT|URC|IST|TBZ|
TBZ|OSS,|OSS|IST|TBZ|
TBZ|OVB,|OVB|IST|TBZ|
TBZ|TBS,|TBS|IST|TBZ|
TBZ|TCG,|TCG|URC|IST|TBZ|
TBZ|TSE,|TSE|IST|TBZ|
TBZ|YIN,|YIN|URC|IST|TBZ|
TBZ|ENH,|ENH|WUH|URC|IST|TBZ|
TBZ|ENY,|ENY|XIY|URC|IST|TBZ|
TBZ|WXN,|WXN|XIY|URC|IST|TBZ|
TBZ|BLL,|BLL|IST|TBZ|
TBZ|ESB,|ESB|IST|TBZ|
TBZ|SAW,|SAW|ADB|IST|TBZ|
TBZ|HAM,|HAM|IST|TBZ|
TBZ|HRE,|HRE|ADD|IST|TBZ|
TBZ|JUB,|JUB|CAI|IST|TBZ|
TBZ|SSG,|SSG|DLA|IST|TBZ|
TBZ|BGW,|BGW|IST|TBZ|
TBZ|EBL,|EBL|IST|TBZ|
TBZ|VKO,|VKO|IST|TBZ|
TBZ|MCT,|MCT|IST|TBZ|
TBZ|AYT,|AYT|IST|TBZ|
TBZ|SCQ,|SCQ|BIO|IST|TBZ|
TBZ|AAL,|AAL|IST|TBZ|
TBZ|AOE,|AOE|BRU|IST|TBZ|
TBZ|JNB,|JNB|IST|TBZ|
TBZ|LBV,|LBV|DLA|IST|TBZ|
TBZ|ADA,|ADA|IST|TBZ|
TBZ|ADB,|ADB|IST|TBZ|
TBZ|ADF,|ADF|IST|TBZ|
TBZ|AJI,|AJI|IST|TBZ|
TBZ|BAL,|BAL|IST|TBZ|
TBZ|BJV,|BJV|IST|TBZ|
TBZ|CKZ,|CKZ|ESB|IST|TBZ|
TBZ|DIY,|DIY|IST|TBZ|
TBZ|ECN,|ECN|IST|TBZ|
TBZ|ERC,|ERC|IST|TBZ|
TBZ|ERZ,|ERZ|IST|TBZ|
TBZ|EZS,|EZS|IST|TBZ|
TBZ|GNY,|GNY|IST|TBZ|
TBZ|GZP,|GZP|ESB|IST|TBZ|
TBZ|GZT,|GZT|IST|TBZ|
TBZ|HTY,|HTY|IST|TBZ|
TBZ|KCM,|KCM|IST|TBZ|
TBZ|KSY,|KSY|IST|TBZ|
TBZ|MLX,|MLX|IST|TBZ|
TBZ|MQM,|MQM|IST|TBZ|
TBZ|MSR,|MSR|IST|TBZ|
TBZ|TEQ,|TEQ|ESB|IST|TBZ|
TBZ|TZX,|TZX|IST|TBZ|
TBZ|VAN,|VAN|IST|TBZ|
TBZ|ULN,|ULN|FRU|IST|TBZ|
TBZ|HIJ,|HIJ|ICN|IST|TBZ|
TBZ|VVO,|VVO|ICN|IST|TBZ|
TBZ|ACC,|ACC|IST|TBZ|
TBZ|AER,|AER|IST|TBZ|
TBZ|AGP,|AGP|IST|TBZ|
TBZ|ALG,|ALG|IST|TBZ|
TBZ|AMM,|AMM|IST|TBZ|
TBZ|AQJ,|AQJ|IST|TBZ|
TBZ|ARN,|ARN|IST|TBZ|
TBZ|ASR,|ASR|IST|TBZ|
TBZ|ATH,|ATH|IST|TBZ|
TBZ|BAH,|BAH|IST|TBZ|
TBZ|BEG,|BEG|IST|TBZ|
TBZ|BEN,|BEN|IST|TBZ|
TBZ|BEY,|BEY|IST|TBZ|
TBZ|BHX,|BHX|IST|TBZ|
TBZ|BIO,|BIO|IST|TBZ|
TBZ|BLQ,|BLQ|IST|TBZ|
TBZ|BOM,|BOM|IST|TBZ|
TBZ|BRE,|BRE|IST|TBZ|
TBZ|BSL,|BSL|IST|TBZ|
TBZ|BSR,|BSR|IST|TBZ|
TBZ|BUD,|BUD|IST|TBZ|
TBZ|BUS,|BUS|IST|TBZ|
TBZ|CAI,|CAI|IST|TBZ|
TBZ|CGN,|CGN|IST|TBZ|
TBZ|CMN,|CMN|IST|TBZ|
