JST|HRB,|HRB|PEK|IAD|JST|
JST|HZH,|HZH|CAN|PEK|IAD|JST|
JST|JIU,|JIU|CAN|PEK|IAD|JST|
JST|JJN,|JJN|PEK|IAD|JST|
JST|JNG,|JNG|CAN|PEK|IAD|JST|
JST|KHN,|KHN|DLC|PEK|IAD|JST|
JST|KIX,|KIX|SFO|IAD|JST|
JST|KOW,|KOW|PEK|IAD|JST|
JST|KTM,|KTM|IST|IAD|JST|
JST|KUL,|KUL|CAN|PEK|IAD|JST|
JST|KWE,|KWE|PEK|IAD|JST|
JST|KWL,|KWL|PEK|IAD|JST|
JST|LHW,|LHW|CGO|PEK|IAD|JST|
JST|LYA,|LYA|KHN|DLC|PEK|IAD|JST|
JST|LYG,|LYG|HSN|PEK|IAD|JST|
JST|LZH,|LZH|CAN|PEK|IAD|JST|
JST|MEL,|MEL|SYD|LAX|IAD|JST|
JST|MIG,|MIG|CSX|PEK|IAD|JST|
JST|MLE,|MLE|IST|IAD|JST|
JST|MNL,|MNL|XMN|PEK|IAD|JST|
JST|MXZ,|MXZ|CAN|PEK|IAD|JST|
JST|NAO,|NAO|PEK|IAD|JST|
JST|NGB,|NGB|PEK|IAD|JST|
JST|NKG,|NKG|DLC|PEK|IAD|JST|
JST|NNY,|NNY|CGO|PEK|IAD|JST|
JST|PEN,|PEN|CAN|PEK|IAD|JST|
JST|PER,|PER|CAN|PEK|IAD|JST|
JST|PNH,|PNH|CAN|PEK|IAD|JST|
JST|REP,|REP|CAN|PEK|IAD|JST|
JST|RGN,|RGN|CAN|PEK|IAD|JST|
JST|SGN,|SGN|CAN|PEK|IAD|JST|
JST|SHA,|SHA|PEK|IAD|JST|
JST|SIN,|SIN|CAN|PEK|IAD|JST|
JST|SVO,|SVO|URC|TSE|FRA|IAD|JST|
JST|SYX,|SYX|PEK|IAD|JST|
JST|TAO,|TAO|DLC|PEK|IAD|JST|
JST|TEN,|TEN|PEK|IAD|JST|
JST|TNA,|TNA|DLC|PEK|IAD|JST|
JST|TPE,|TPE|PVG|YYZ|IAD|JST|
JST|TSN,|TSN|DLC|PEK|IAD|JST|
JST|TXN,|TXN|DLC|PEK|IAD|JST|
JST|TYN,|TYN|DAT|CIH|PEK|IAD|JST|
JST|WNZ,|WNZ|CGO|PEK|IAD|JST|
JST|WUX,|WUX|CAN|PEK|IAD|JST|
JST|XFN,|XFN|XMN|PEK|IAD|JST|
JST|XIY,|XIY|PEK|IAD|JST|
JST|XUZ,|XUZ|LYG|HSN|PEK|IAD|JST|
JST|YIH,|YIH|CKG|PEK|IAD|JST|
JST|YIW,|YIW|PEK|IAD|JST|
JST|YNT,|YNT|SHE|PEK|IAD|JST|
JST|YNZ,|YNZ|DLC|PEK|IAD|JST|
JST|YTY,|YTY|DLC|PEK|IAD|JST|
