CZX|RSW,|RSW|ORD|PEK|SHE|CZX|
CZX|SAN,|SAN|LAX|ICN|SHE|CZX|
CZX|SJO,|SJO|IAH|YVR|ICN|SHE|CZX|
CZX|STL,|STL|ORD|PEK|SHE|CZX|
CZX|SYR,|SYR|YYZ|PEK|SHE|CZX|
CZX|TLV,|TLV|SAW|TBS|URC|TYN|CZX|
CZX|TPA,|TPA|ORD|PEK|SHE|CZX|
CZX|UVF,|UVF|EWR|PEK|SHE|CZX|
CZX|VIE,|VIE|IST|URC|TYN|CZX|
CZX|YAM,|YAM|YYZ|PEK|SHE|CZX|
CZX|YGK,|YGK|YYZ|PEK|SHE|CZX|
CZX|YQG,|YQG|YYZ|PEK|SHE|CZX|
CZX|YSB,|YSB|YYZ|PEK|SHE|CZX|
CZX|YTS,|YTS|YYZ|PEK|SHE|CZX|
CZX|YYB,|YYB|YYZ|PEK|SHE|CZX|
CZX|YZR,|YZR|YYZ|PEK|SHE|CZX|
CZX|CAN,|CAN|CZX|
CZX|URC,|URC|TYN|CZX|
CZX|CTU,|CTU|CSX|CZX|
CZX|HGH,|HGH|FOC|CZX|
CZX|XMN,|XMN|CSX|CZX|
CZX|CGO,|CGO|FOC|CZX|
CZX|CSX,|CSX|CZX|
CZX|SHE,|SHE|CZX|
CZX|SJW,|SJW|CSX|CZX|
CZX|WUH,|WUH|FOC|CZX|
CZX|SZX,|SZX|CZX|
CZX|CKG,|CKG|CSX|CZX|
CZX|KMG,|KMG|CSX|CZX|
CZX|FOC,|FOC|CZX|
CZX|NNG,|NNG|CSX|CZX|
CZX|SWA,|SWA|CSX|CZX|
CZX|ACX,|ACX|CAN|CZX|
CZX|AQG,|AQG|CAN|CZX|
CZX|AVA,|AVA|CAN|CZX|
CZX|BFJ,|BFJ|CAN|CZX|
CZX|BHY,|BHY|CSX|CZX|
CZX|BNE,|BNE|CAN|CZX|
CZX|CGD,|CGD|CAN|CZX|
CZX|CGK,|CGK|FOC|CZX|
CZX|CGQ,|CGQ|TYN|CZX|
CZX|CIH,|CIH|DAT|TYN|CZX|
CZX|CNX,|CNX|CAN|CZX|
CZX|DAC,|DAC|CAN|CZX|
CZX|DAD,|DAD|CAN|CZX|
CZX|DEL,|DEL|CAN|CZX|
CZX|DIG,|DIG|KMG|CSX|CZX|
CZX|DLC,|DLC|TYN|CZX|
CZX|DPS,|DPS|SZX|CZX|
CZX|DXB,|DXB|CAN|CZX|
CZX|DYG,|DYG|CSX|CZX|
CZX|FUG,|FUG|CAN|CZX|
CZX|FUK,|FUK|SHE|CZX|
CZX|HAK,|HAK|CAN|CZX|
CZX|HAN,|HAN|CAN|CZX|
CZX|HDG,|HDG|CAN|CZX|
CZX|HET,|HET|INC|TYN|CZX|
CZX|HFE,|HFE|CSX|CZX|
CZX|HJJ,|HJJ|CSX|CZX|
CZX|HKT,|HKT|CAN|CZX|
CZX|HRB,|HRB|ICN|SHE|CZX|
CZX|HZH,|HZH|CAN|CZX|
CZX|JIU,|JIU|CAN|CZX|
CZX|JJN,|JJN|CSX|CZX|
CZX|JNG,|JNG|CAN|CZX|
CZX|KHN,|KHN|NKG|FOC|CZX|
CZX|KIX,|KIX|SHE|CZX|
CZX|KOW,|KOW|CAN|CZX|
