YXU|PUS,|PUS|SHE|PEK|YYZ|YXU|
YXU|BKI,|BKI|SZX|PEK|YYZ|YXU|
YXU|AKU,|AKU|URC|TSE|FRA|YYZ|YXU|
YXU|ALA,|ALA|TSE|FRA|YYZ|YXU|
YXU|ASB,|ASB|GYD|FRA|YYZ|YXU|
YXU|DNH,|DNH|URC|TSE|FRA|YYZ|YXU|
YXU|DYU,|DYU|IST|YYZ|YXU|
YXU|FRU,|FRU|IST|YYZ|YXU|
YXU|GYD,|GYD|FRA|YYZ|YXU|
YXU|HTN,|HTN|URC|TSE|FRA|YYZ|YXU|
YXU|IKA,|IKA|SAW|VIE|YYZ|YXU|
YXU|KCA,|KCA|URC|TSE|FRA|YYZ|YXU|
YXU|KHG,|KHG|URC|TSE|FRA|YYZ|YXU|
YXU|KRL,|KRL|URC|TSE|FRA|YYZ|YXU|
YXU|KRY,|KRY|URC|TSE|FRA|YYZ|YXU|
YXU|LBD,|LBD|URC|TSE|FRA|YYZ|YXU|
YXU|NLT,|NLT|URC|TSE|FRA|YYZ|YXU|
YXU|OSS,|OSS|IST|YYZ|YXU|
YXU|OVB,|OVB|IST|YYZ|YXU|
YXU|TBS,|TBS|SAW|VIE|YYZ|YXU|
YXU|TCG,|TCG|URC|TSE|FRA|YYZ|YXU|
YXU|TSE,|TSE|FRA|YYZ|YXU|
YXU|YIN,|YIN|URC|TSE|FRA|YYZ|YXU|
YXU|ENH,|ENH|WUH|PEK|YYZ|YXU|
YXU|ENY,|ENY|XIY|PEK|YYZ|YXU|
YXU|WXN,|WXN|XIY|PEK|YYZ|YXU|
YXU|BLL,|BLL|IST|YYZ|YXU|
YXU|ESB,|ESB|VIE|YYZ|YXU|
YXU|SAW,|SAW|VIE|YYZ|YXU|
YXU|HAM,|HAM|EWR|YYZ|YXU|
YXU|HRE,|HRE|ADD|JED|FRA|YYZ|YXU|
YXU|JUB,|JUB|CAI|IST|YYZ|YXU|
YXU|SSG,|SSG|DLA|BRU|YUL|YYZ|YXU|
YXU|BGW,|BGW|ESB|VIE|YYZ|YXU|
YXU|EBL,|EBL|IST|YYZ|YXU|
YXU|VKO,|VKO|IST|YYZ|YXU|
YXU|MCT,|MCT|AUH|YYZ|YXU|
YXU|AYT,|AYT|IST|YYZ|YXU|
YXU|SCQ,|SCQ|BIO|IST|YYZ|YXU|
YXU|AAL,|AAL|IST|YYZ|YXU|
YXU|AOE,|AOE|BRU|YUL|YYZ|YXU|
YXU|JNB,|JNB|JFK|YYZ|YXU|
YXU|LBV,|LBV|DLA|BRU|YUL|YYZ|YXU|
YXU|ADA,|ADA|SAW|VIE|YYZ|YXU|
YXU|ADB,|ADB|IST|YYZ|YXU|
YXU|ADF,|ADF|ESB|VIE|YYZ|YXU|
YXU|AJI,|AJI|ESB|VIE|YYZ|YXU|
YXU|BAL,|BAL|ESB|VIE|YYZ|YXU|
YXU|BJV,|BJV|IST|YYZ|YXU|
YXU|CKZ,|CKZ|ESB|VIE|YYZ|YXU|
YXU|DIY,|DIY|ESB|VIE|YYZ|YXU|
YXU|ECN,|ECN|IST|YYZ|YXU|
YXU|ERC,|ERC|ESB|VIE|YYZ|YXU|
YXU|ERZ,|ERZ|ESB|VIE|YYZ|YXU|
YXU|EZS,|EZS|ESB|VIE|YYZ|YXU|
YXU|GNY,|GNY|ESB|VIE|YYZ|YXU|
YXU|GZP,|GZP|ESB|VIE|YYZ|YXU|
YXU|GZT,|GZT|ESB|VIE|YYZ|YXU|
YXU|HTY,|HTY|SAW|VIE|YYZ|YXU|
YXU|KCM,|KCM|ESB|VIE|YYZ|YXU|
YXU|KSY,|KSY|ESB|VIE|YYZ|YXU|
YXU|MLX,|MLX|ESB|VIE|YYZ|YXU|
YXU|MQM,|MQM|ESB|VIE|YYZ|YXU|
YXU|MSR,|MSR|ESB|VIE|YYZ|YXU|
YXU|TEQ,|TEQ|ESB|VIE|YYZ|YXU|
YXU|TZX,|TZX|ESB|VIE|YYZ|YXU|
YXU|VAN,|VAN|ESB|VIE|YYZ|YXU|
YXU|ULN,|ULN|FRU|IST|YYZ|YXU|
YXU|HIJ,|HIJ|ICN|YVR|YYC|YXU|
YXU|VVO,|VVO|ICN|YVR|YYC|YXU|
YXU|ACC,|ACC|IST|YYZ|YXU|
YXU|AER,|AER|IST|YYZ|YXU|
YXU|AGP,|AGP|IST|YYZ|YXU|
YXU|ALG,|ALG|IST|YYZ|YXU|
YXU|AMM,|AMM|IST|YYZ|YXU|
YXU|AQJ,|AQJ|IST|YYZ|YXU|
YXU|ARN,|ARN|EWR|YYZ|YXU|
YXU|ASR,|ASR|SAW|VIE|YYZ|YXU|
YXU|ATH,|ATH|IST|YYZ|YXU|
YXU|BAH,|BAH|IST|YYZ|YXU|
YXU|BEG,|BEG|IST|YYZ|YXU|
YXU|BEN,|BEN|IST|YYZ|YXU|
YXU|BEY,|BEY|IST|YYZ|YXU|
YXU|BHX,|BHX|EWR|YYZ|YXU|
YXU|BIO,|BIO|IST|YYZ|YXU|
YXU|BLQ,|BLQ|IST|YYZ|YXU|
YXU|BOM,|BOM|IST|YYZ|YXU|
YXU|BRE,|BRE|IST|YYZ|YXU|
YXU|BSL,|BSL|IST|YYZ|YXU|
YXU|BSR,|BSR|IST|YYZ|YXU|
YXU|BUD,|BUD|IST|YYZ|YXU|
YXU|BUS,|BUS|IST|YYZ|YXU|
YXU|CAI,|CAI|IST|YYZ|YXU|
YXU|CGN,|CGN|IST|YYZ|YXU|
YXU|CMN,|CMN|IST|YYZ|YXU|
YXU|CND,|CND|IST|YYZ|YXU|
YXU|DAR,|DAR|NBO|ZRH|YYZ|YXU|
YXU|DLM,|DLM|IST|YYZ|YXU|
YXU|DMM,|DMM|IST|YYZ|YXU|
YXU|DNK,|DNK|IST|YYZ|YXU|
YXU|DNZ,|DNZ|IST|YYZ|YXU|
YXU|DOK,|DOK|IST|YYZ|YXU|
YXU|DUS,|DUS|EWR|YYZ|YXU|
YXU|EDI,|EDI|EWR|YYZ|YXU|
YXU|ELQ,|ELQ|IST|YYZ|YXU|
YXU|FDH,|FDH|IST|YYZ|YXU|
YXU|GOA,|GOA|IST|YYZ|YXU|
YXU|GOT,|GOT|BRU|YUL|YYZ|YXU|
YXU|HAJ,|HAJ|BRU|YUL|YYZ|YXU|
YXU|HBE,|HBE|IST|YYZ|YXU|
YXU|HEL,|HEL|IST|YYZ|YXU|
YXU|HRG,|HRG|IST|YYZ|YXU|
YXU|IFN,|IFN|IST|YYZ|YXU|
YXU|ISE,|ISE|IST|YYZ|YXU|
YXU|ISU,|ISU|IST|YYZ|YXU|
YXU|JIB,|JIB|IST|YYZ|YXU|
YXU|JRO,|JRO|IST|YYZ|YXU|
