MBS|SYR,|SYR|ORD|MBS|
MBS|TLV,|TLV|IST|ORD|MBS|
MBS|TPA,|TPA|ORD|MBS|
MBS|UVF,|UVF|EWR|ORD|MBS|
MBS|VIE,|VIE|ORD|MBS|
MBS|YAM,|YAM|YYZ|ORD|MBS|
MBS|YGK,|YGK|YYZ|ORD|MBS|
MBS|YQG,|YQG|YYZ|ORD|MBS|
MBS|YSB,|YSB|YYZ|ORD|MBS|
MBS|YTS,|YTS|YYZ|ORD|MBS|
MBS|YYB,|YYB|YYZ|ORD|MBS|
MBS|YZR,|YZR|YYZ|ORD|MBS|
MBS|CAN,|CAN|PEK|ORD|MBS|
MBS|URC,|URC|TSE|FRA|ORD|MBS|
MBS|CTU,|CTU|PEK|ORD|MBS|
MBS|HGH,|HGH|PEK|ORD|MBS|
MBS|XMN,|XMN|PEK|ORD|MBS|
MBS|CGO,|CGO|PEK|ORD|MBS|
MBS|CSX,|CSX|PEK|ORD|MBS|
MBS|SHE,|SHE|PEK|ORD|MBS|
MBS|SJW,|SJW|DLC|PEK|ORD|MBS|
MBS|WUH,|WUH|PEK|ORD|MBS|
MBS|SZX,|SZX|PEK|ORD|MBS|
MBS|CKG,|CKG|PEK|ORD|MBS|
MBS|KMG,|KMG|PEK|ORD|MBS|
MBS|FOC,|FOC|PEK|ORD|MBS|
MBS|NNG,|NNG|PEK|ORD|MBS|
MBS|SWA,|SWA|PEK|ORD|MBS|
MBS|ACX,|ACX|CAN|PEK|ORD|MBS|
MBS|AQG,|AQG|CAN|PEK|ORD|MBS|
MBS|AVA,|AVA|CAN|PEK|ORD|MBS|
MBS|BFJ,|BFJ|CAN|PEK|ORD|MBS|
MBS|BHY,|BHY|CGO|PEK|ORD|MBS|
MBS|BNE,|BNE|CAN|PEK|ORD|MBS|
MBS|CGD,|CGD|PEK|ORD|MBS|
MBS|CGK,|CGK|CAN|PEK|ORD|MBS|
MBS|CGQ,|CGQ|PEK|ORD|MBS|
MBS|CIH,|CIH|PEK|ORD|MBS|
MBS|CNX,|CNX|CAN|PEK|ORD|MBS|
MBS|CZX,|CZX|SHE|PEK|ORD|MBS|
MBS|DAC,|DAC|IST|ORD|MBS|
MBS|DAD,|DAD|CAN|PEK|ORD|MBS|
MBS|DEL,|DEL|EWR|ORD|MBS|
MBS|DIG,|DIG|KMG|PEK|ORD|MBS|
MBS|DLC,|DLC|PEK|ORD|MBS|
MBS|DPS,|DPS|SZX|PEK|ORD|MBS|
MBS|DXB,|DXB|IST|ORD|MBS|
MBS|DYG,|DYG|PEK|ORD|MBS|
MBS|FUG,|FUG|CAN|PEK|ORD|MBS|
MBS|FUK,|FUK|ICN|YVR|ORD|MBS|
MBS|HAK,|HAK|PEK|ORD|MBS|
MBS|HAN,|HAN|PEK|ORD|MBS|
MBS|HDG,|HDG|CAN|PEK|ORD|MBS|
MBS|HET,|HET|DLC|PEK|ORD|MBS|
MBS|HFE,|HFE|XIY|PEK|ORD|MBS|
MBS|HJJ,|HJJ|CSX|PEK|ORD|MBS|
MBS|HKT,|HKT|KWE|PEK|ORD|MBS|
MBS|HRB,|HRB|PEK|ORD|MBS|
MBS|HZH,|HZH|CAN|PEK|ORD|MBS|
MBS|JIU,|JIU|CAN|PEK|ORD|MBS|
MBS|JJN,|JJN|PEK|ORD|MBS|
MBS|JNG,|JNG|CAN|PEK|ORD|MBS|
MBS|KHN,|KHN|DLC|PEK|ORD|MBS|
MBS|KIX,|KIX|SFO|ORD|MBS|
MBS|KOW,|KOW|PEK|ORD|MBS|
MBS|KTM,|KTM|IST|ORD|MBS|
MBS|KUL,|KUL|CAN|PEK|ORD|MBS|
MBS|KWE,|KWE|PEK|ORD|MBS|
MBS|KWL,|KWL|PEK|ORD|MBS|
MBS|LHW,|LHW|CGO|PEK|ORD|MBS|
MBS|LYA,|LYA|KHN|DLC|PEK|ORD|MBS|
MBS|LYG,|LYG|HSN|PEK|ORD|MBS|
MBS|LZH,|LZH|CAN|PEK|ORD|MBS|
MBS|MEL,|MEL|SYD|LAX|ORD|MBS|
MBS|MIG,|MIG|CSX|PEK|ORD|MBS|
MBS|MLE,|MLE|IST|ORD|MBS|
MBS|MNL,|MNL|XMN|PEK|ORD|MBS|
MBS|MXZ,|MXZ|CAN|PEK|ORD|MBS|
MBS|NAO,|NAO|PEK|ORD|MBS|
MBS|NGB,|NGB|PEK|ORD|MBS|
MBS|NKG,|NKG|DLC|PEK|ORD|MBS|
MBS|NNY,|NNY|CGO|PEK|ORD|MBS|
MBS|PEN,|PEN|CAN|PEK|ORD|MBS|
MBS|PER,|PER|CAN|PEK|ORD|MBS|
MBS|PNH,|PNH|CAN|PEK|ORD|MBS|
MBS|REP,|REP|CAN|PEK|ORD|MBS|
MBS|RGN,|RGN|CAN|PEK|ORD|MBS|
MBS|SGN,|SGN|CAN|PEK|ORD|MBS|
MBS|SHA,|SHA|PEK|ORD|MBS|
MBS|SIN,|SIN|HKG|ORD|MBS|
MBS|SVO,|SVO|URC|TSE|FRA|ORD|MBS|
MBS|SYX,|SYX|PEK|ORD|MBS|
MBS|TAO,|TAO|DLC|PEK|ORD|MBS|
MBS|TEN,|TEN|PEK|ORD|MBS|
