TBS|ISU,|ISU|IST|TBS|
TBS|JIB,|JIB|IST|TBS|
TBS|JRO,|JRO|IST|TBS|
TBS|KAN,|KAN|IST|TBS|
TBS|KBL,|KBL|IST|TBS|
TBS|KBP,|KBP|SAW|TBS|
TBS|KFS,|KFS|IST|TBS|
TBS|KHI,|KHI|IST|TBS|
TBS|KIV,|KIV|IST|TBS|
TBS|KRT,|KRT|IST|TBS|
TBS|KSH,|KSH|IST|TBS|
TBS|KVD,|KVD|IST|TBS|
TBS|KWI,|KWI|SAW|TBS|
TBS|KYA,|KYA|SAW|TBS|
TBS|KZN,|KZN|IST|TBS|
TBS|KZR,|KZR|IST|TBS|
TBS|LED,|LED|IST|TBS|
TBS|LEJ,|LEJ|IST|TBS|
TBS|LGW,|LGW|SAW|TBS|
TBS|LHE,|LHE|IST|TBS|
TBS|LIS,|LIS|IST|TBS|
TBS|LJU,|LJU|IST|TBS|
TBS|LOS,|LOS|IST|TBS|
TBS|LUX,|LUX|IST|TBS|
TBS|LWO,|LWO|IST|TBS|
TBS|LYS,|LYS|IST|TBS|
TBS|MAD,|MAD|IST|TBS|
TBS|MAN,|MAN|IST|TBS|
TBS|MED,|MED|IST|TBS|
TBS|MHD,|MHD|IST|TBS|
TBS|MLA,|MLA|SAW|TBS|
TBS|MRS,|MRS|IST|TBS|
TBS|MSQ,|MSQ|IST|TBS|
TBS|MXP,|MXP|IST|TBS|
TBS|MZH,|MZH|IST|TBS|
TBS|MZR,|MZR|IST|TBS|
TBS|NAJ,|NAJ|IST|TBS|
TBS|NAV,|NAV|IST|TBS|
TBS|NCE,|NCE|IST|TBS|
TBS|NIM,|NIM|IST|TBS|
TBS|NJF,|NJF|IST|TBS|
TBS|NSI,|NSI|IST|TBS|
TBS|NUE,|NUE|IST|TBS|
TBS|ODS,|ODS|IST|TBS|
TBS|ORN,|ORN|IST|TBS|
TBS|OTP,|OTP|IST|TBS|
TBS|PRG,|PRG|IST|TBS|
TBS|PRN,|PRN|IST|TBS|
TBS|RIX,|RIX|IST|TBS|
TBS|ROV,|ROV|IST|TBS|
TBS|RTM,|RTM|IST|TBS|
TBS|RUH,|RUH|IST|TBS|
TBS|SAH,|SAH|IST|TBS|
TBS|SJJ,|SJJ|IST|TBS|
TBS|SKG,|SKG|IST|TBS|
TBS|SKP,|SKP|IST|TBS|
TBS|SSH,|SSH|IST|TBS|
TBS|STR,|STR|IST|TBS|
TBS|SVX,|SVX|IST|TBS|
TBS|SYZ,|SYZ|IST|TBS|
TBS|SZG,|SZG|IST|TBS|
TBS|TBZ,|TBZ|IST|TBS|
TBS|TGD,|TGD|IST|TBS|
TBS|TIA,|TIA|IST|TBS|
TBS|TIF,|TIF|IST|TBS|
TBS|TIP,|TIP|IST|TBS|
TBS|TLL,|TLL|IST|TBS|
TBS|TLS,|TLS|IST|TBS|
TBS|TRN,|TRN|IST|TBS|
TBS|TUN,|TUN|IST|TBS|
TBS|TXL,|TXL|IST|TBS|
TBS|UFA,|UFA|IST|TBS|
TBS|VAS,|VAS|SAW|TBS|
TBS|VCE,|VCE|IST|TBS|
TBS|YNB,|YNB|IST|TBS|
TBS|ZAG,|ZAG|IST|TBS|
TBS|MGQ,|MGQ|JIB|IST|TBS|
TBS|CPT,|CPT|JNB|IST|TBS|
TBS|MBA,|MBA|JRO|IST|TBS|
TBS|NDJ,|NDJ|KAN|IST|TBS|
TBS|CMB,|CMB|MLE|IST|TBS|
TBS|ADE,|ADE|SAH|IST|TBS|
TBS|ASF,|ASF|SAW|TBS|
TBS|STW,|STW|SAW|TBS|
TBS|LFW,|LFW|ABJ|OUA|NIM|IST|TBS|
TBS|CEC,|CEC|ACV|SMF|SEA|FRA|SAW|TBS|
TBS|SMF,|SMF|SEA|FRA|SAW|TBS|
TBS|CDR,|CDR|AIA|DEN|FRA|SAW|TBS|
TBS|FMN,|FMN|DEN|FRA|SAW|TBS|
TBS|JST,|JST|IAD|FRA|SAW|TBS|
TBS|JHW,|JHW|CLE|YYZ|VIE|SAW|TBS|
TBS|SHD,|SHD|IAD|FRA|SAW|TBS|
TBS|PTY,|PTY|MIA|ZRH|IST|TBS|
