ACV|DUB,|DUB|ORD|SMF|ACV|
ACV|FCO,|FCO|YYZ|ORD|SMF|ACV|
ACV|GCM,|GCM|IAH|SMF|ACV|
ACV|GGT,|GGT|FLL|LAS|SMF|ACV|
ACV|GND,|GND|YYZ|ORD|SMF|ACV|
ACV|GRU,|GRU|IAH|SMF|ACV|
ACV|HAV,|HAV|YYZ|ORD|SMF|ACV|
ACV|IND,|IND|DEN|SMF|ACV|
ACV|JFK,|JFK|YYZ|ORD|SMF|ACV|
ACV|KIN,|KIN|YYZ|ORD|SMF|ACV|
ACV|LIM,|LIM|IAH|SMF|ACV|
ACV|LIR,|LIR|IAH|SMF|ACV|
ACV|MCI,|MCI|DEN|SMF|ACV|
ACV|MDT,|MDT|ORD|SMF|ACV|
ACV|MIA,|MIA|MSY|LAS|SMF|ACV|
ACV|MKE,|MKE|DEN|SMF|ACV|
ACV|MSP,|MSP|DEN|SMF|ACV|
ACV|NAS,|NAS|IAH|SMF|ACV|
ACV|PHL,|PHL|MDW|SMF|ACV|
ACV|PHX,|PHX|SMF|ACV|
ACV|PIT,|PIT|MDW|SMF|ACV|
ACV|PLS,|PLS|YYZ|ORD|SMF|ACV|
ACV|POP,|POP|YYZ|ORD|SMF|ACV|
ACV|RDU,|RDU|DEN|SMF|ACV|
ACV|ROC,|ROC|ORD|SMF|ACV|
ACV|RSW,|RSW|IAH|SMF|ACV|
ACV|SAN,|SAN|SMF|ACV|
ACV|SJO,|SJO|IAH|SMF|ACV|
ACV|STL,|STL|DEN|SMF|ACV|
ACV|SYR,|SYR|ORD|SMF|ACV|
ACV|TLV,|TLV|IST|FRA|SEA|SMF|ACV|
ACV|TPA,|TPA|LAS|SMF|ACV|
ACV|UVF,|UVF|EWR|ORD|SMF|ACV|
ACV|VIE,|VIE|ORD|SMF|ACV|
ACV|YAM,|YAM|YYZ|ORD|SMF|ACV|
ACV|YGK,|YGK|YYZ|ORD|SMF|ACV|
ACV|YQG,|YQG|YYZ|ORD|SMF|ACV|
ACV|YSB,|YSB|YYZ|ORD|SMF|ACV|
ACV|YTS,|YTS|YYZ|ORD|SMF|ACV|
ACV|YYB,|YYB|YYZ|ORD|SMF|ACV|
ACV|YZR,|YZR|YYZ|ORD|SMF|ACV|
ACV|CAN,|CAN|PVG|SFO|ACV|
ACV|URC,|URC|PEK|SFO|ACV|
ACV|CTU,|CTU|PEK|SFO|ACV|
ACV|HGH,|HGH|DLC|ICN|SFO|ACV|
ACV|XMN,|XMN|YNZ|DLC|ICN|SFO|ACV|
ACV|CGO,|CGO|PEK|SFO|ACV|
