SDF|TBS,|TBS|SAW|VIE|YYZ|CLE|SDF|
SDF|TCG,|TCG|URC|TSE|FRA|YYZ|CLE|SDF|
SDF|TSE,|TSE|FRA|YYZ|CLE|SDF|
SDF|YIN,|YIN|URC|TSE|FRA|YYZ|CLE|SDF|
SDF|ENH,|ENH|WUH|PEK|ORD|SDF|
SDF|ENY,|ENY|XIY|PEK|ORD|SDF|
SDF|WXN,|WXN|XIY|PEK|ORD|SDF|
SDF|BLL,|BLL|IST|YYZ|CLE|SDF|
SDF|ESB,|ESB|VIE|YYZ|CLE|SDF|
SDF|SAW,|SAW|VIE|YYZ|CLE|SDF|
SDF|HAM,|HAM|EWR|SDF|
SDF|HRE,|HRE|ADD|JED|FRA|YYZ|CLE|SDF|
SDF|JUB,|JUB|CAI|JFK|IAD|SDF|
SDF|SSG,|SSG|DLA|BRU|YUL|YYZ|CLE|SDF|
SDF|BGW,|BGW|ESB|VIE|YYZ|CLE|SDF|
SDF|EBL,|EBL|IST|YYZ|CLE|SDF|
SDF|VKO,|VKO|IST|YYZ|CLE|SDF|
SDF|MCT,|MCT|AUH|YYZ|CLE|SDF|
SDF|AYT,|AYT|IST|YYZ|CLE|SDF|
SDF|SCQ,|SCQ|BIO|IST|YYZ|CLE|SDF|
SDF|AAL,|AAL|IST|YYZ|CLE|SDF|
SDF|AOE,|AOE|BRU|YUL|YYZ|CLE|SDF|
SDF|JNB,|JNB|DKR|IAD|SDF|
SDF|LBV,|LBV|DLA|BRU|YUL|YYZ|CLE|SDF|
SDF|ADA,|ADA|SAW|VIE|YYZ|CLE|SDF|
SDF|ADB,|ADB|HAM|EWR|SDF|
SDF|ADF,|ADF|ESB|VIE|YYZ|CLE|SDF|
SDF|AJI,|AJI|ESB|VIE|YYZ|CLE|SDF|
SDF|BAL,|BAL|ESB|VIE|YYZ|CLE|SDF|
SDF|BJV,|BJV|IST|YYZ|CLE|SDF|
SDF|CKZ,|CKZ|ESB|VIE|YYZ|CLE|SDF|
SDF|DIY,|DIY|ESB|VIE|YYZ|CLE|SDF|
SDF|ECN,|ECN|IST|YYZ|CLE|SDF|
SDF|ERC,|ERC|ESB|VIE|YYZ|CLE|SDF|
SDF|ERZ,|ERZ|ESB|VIE|YYZ|CLE|SDF|
SDF|EZS,|EZS|ESB|VIE|YYZ|CLE|SDF|
SDF|GNY,|GNY|ESB|VIE|YYZ|CLE|SDF|
SDF|GZP,|GZP|ESB|VIE|YYZ|CLE|SDF|
SDF|GZT,|GZT|ESB|VIE|YYZ|CLE|SDF|
SDF|HTY,|HTY|SAW|VIE|YYZ|CLE|SDF|
SDF|KCM,|KCM|ESB|VIE|YYZ|CLE|SDF|
SDF|KSY,|KSY|ESB|VIE|YYZ|CLE|SDF|
SDF|MLX,|MLX|ESB|VIE|YYZ|CLE|SDF|
SDF|MQM,|MQM|ESB|VIE|YYZ|CLE|SDF|
SDF|MSR,|MSR|ESB|VIE|YYZ|CLE|SDF|
SDF|TEQ,|TEQ|ESB|VIE|YYZ|CLE|SDF|
SDF|TZX,|TZX|ESB|VIE|YYZ|CLE|SDF|
SDF|VAN,|VAN|ESB|VIE|YYZ|CLE|SDF|
SDF|ULN,|ULN|FRU|IST|YYZ|CLE|SDF|
SDF|HIJ,|HIJ|ICN|YVR|ORD|SDF|
SDF|VVO,|VVO|ICN|YVR|ORD|SDF|
SDF|ACC,|ACC|IST|YYZ|CLE|SDF|
SDF|AER,|AER|IST|YYZ|CLE|SDF|
SDF|AGP,|AGP|IST|YYZ|CLE|SDF|
SDF|ALG,|ALG|IST|YYZ|CLE|SDF|
SDF|AMM,|AMM|IST|YYZ|CLE|SDF|
SDF|AQJ,|AQJ|IST|YYZ|CLE|SDF|
SDF|ARN,|ARN|EWR|SDF|
SDF|ASR,|ASR|SAW|VIE|YYZ|CLE|SDF|
SDF|ATH,|ATH|IST|YYZ|CLE|SDF|
SDF|BAH,|BAH|IST|YYZ|CLE|SDF|
SDF|BEG,|BEG|IST|YYZ|CLE|SDF|
SDF|BEN,|BEN|IST|YYZ|CLE|SDF|
SDF|BEY,|BEY|IST|YYZ|CLE|SDF|
SDF|BHX,|BHX|EWR|SDF|
SDF|BIO,|BIO|IST|YYZ|CLE|SDF|
SDF|BLQ,|BLQ|IST|YYZ|CLE|SDF|
SDF|BOM,|BOM|EWR|SDF|
SDF|BRE,|BRE|IST|YYZ|CLE|SDF|
SDF|BSL,|BSL|IST|YYZ|CLE|SDF|
SDF|BSR,|BSR|IST|YYZ|CLE|SDF|
SDF|BUD,|BUD|IST|YYZ|CLE|SDF|
SDF|BUS,|BUS|IST|YYZ|CLE|SDF|
SDF|CAI,|CAI|JFK|IAD|SDF|
SDF|CGN,|CGN|IST|YYZ|CLE|SDF|
SDF|CMN,|CMN|IST|YYZ|CLE|SDF|
