HMI|ECN,|ECN|SAW|TBS|URC|HMI|
HMI|ERC,|ERC|ESB|SAW|TBS|URC|HMI|
HMI|ERZ,|ERZ|SAW|TBS|URC|HMI|
HMI|EZS,|EZS|SAW|TBS|URC|HMI|
HMI|GNY,|GNY|ESB|SAW|TBS|URC|HMI|
HMI|GZP,|GZP|ESB|SAW|TBS|URC|HMI|
HMI|GZT,|GZT|SAW|TBS|URC|HMI|
HMI|HTY,|HTY|SAW|TBS|URC|HMI|
HMI|KCM,|KCM|ESB|SAW|TBS|URC|HMI|
HMI|KSY,|KSY|SAW|TBS|URC|HMI|
HMI|MLX,|MLX|ESB|SAW|TBS|URC|HMI|
HMI|MQM,|MQM|SAW|TBS|URC|HMI|
HMI|MSR,|MSR|ESB|SAW|TBS|URC|HMI|
HMI|TEQ,|TEQ|ESB|SAW|TBS|URC|HMI|
HMI|TZX,|TZX|SAW|TBS|URC|HMI|
HMI|VAN,|VAN|SAW|TBS|URC|HMI|
HMI|ULN,|ULN|FRU|URC|HMI|
HMI|HIJ,|HIJ|ICN|CGO|HMI|
HMI|VVO,|VVO|ICN|CGO|HMI|
HMI|ACC,|ACC|IST|URC|HMI|
HMI|AER,|AER|IST|URC|HMI|
HMI|AGP,|AGP|IST|URC|HMI|
HMI|ALG,|ALG|IST|URC|HMI|
HMI|AMM,|AMM|IST|URC|HMI|
HMI|AQJ,|AQJ|IST|URC|HMI|
HMI|ARN,|ARN|IST|URC|HMI|
HMI|ASR,|ASR|SAW|TBS|URC|HMI|
HMI|ATH,|ATH|IST|URC|HMI|
HMI|BAH,|BAH|KWI|SAW|TBS|URC|HMI|
HMI|BEG,|BEG|IST|URC|HMI|
HMI|BEN,|BEN|IST|URC|HMI|
HMI|BEY,|BEY|IST|URC|HMI|
HMI|BHX,|BHX|IST|URC|HMI|
HMI|BIO,|BIO|IST|URC|HMI|
HMI|BLQ,|BLQ|IST|URC|HMI|
HMI|BOM,|BOM|IST|URC|HMI|
HMI|BRE,|BRE|IST|URC|HMI|
HMI|BSL,|BSL|IST|URC|HMI|
HMI|BSR,|BSR|IST|URC|HMI|
HMI|BUD,|BUD|IST|URC|HMI|
HMI|BUS,|BUS|IST|URC|HMI|
HMI|CAI,|CAI|IST|URC|HMI|
HMI|CGN,|CGN|IST|URC|HMI|
HMI|CMN,|CMN|IST|URC|HMI|
HMI|CND,|CND|IST|URC|HMI|
HMI|DAR,|DAR|IST|URC|HMI|
HMI|DLM,|DLM|IST|URC|HMI|
HMI|DMM,|DMM|IST|URC|HMI|
HMI|DNK,|DNK|IST|URC|HMI|
HMI|DNZ,|DNZ|IST|URC|HMI|
HMI|DOK,|DOK|IST|URC|HMI|
HMI|DUS,|DUS|IST|URC|HMI|
HMI|EDI,|EDI|IST|URC|HMI|
HMI|ELQ,|ELQ|IST|URC|HMI|
HMI|FDH,|FDH|IST|URC|HMI|
HMI|GOA,|GOA|IST|URC|HMI|
HMI|GOT,|GOT|IST|URC|HMI|
HMI|HAJ,|HAJ|IST|URC|HMI|
HMI|HBE,|HBE|IST|URC|HMI|
HMI|HEL,|HEL|IST|URC|HMI|
HMI|HRG,|HRG|IST|URC|HMI|
HMI|IFN,|IFN|IST|URC|HMI|
HMI|ISE,|ISE|IST|URC|HMI|
HMI|ISU,|ISU|IST|URC|HMI|
HMI|JIB,|JIB|IST|URC|HMI|
HMI|JRO,|JRO|IST|URC|HMI|
HMI|KAN,|KAN|IST|URC|HMI|
HMI|KBL,|KBL|IST|URC|HMI|
HMI|KBP,|KBP|IST|URC|HMI|
HMI|KFS,|KFS|IST|URC|HMI|
HMI|KHI,|KHI|IST|URC|HMI|
HMI|KIV,|KIV|IST|URC|HMI|
HMI|KRT,|KRT|IST|URC|HMI|
HMI|KSH,|KSH|IST|URC|HMI|
HMI|KVD,|KVD|IST|URC|HMI|
HMI|KWI,|KWI|SAW|TBS|URC|HMI|
HMI|KYA,|KYA|SAW|TBS|URC|HMI|
HMI|KZN,|KZN|IST|URC|HMI|
HMI|KZR,|KZR|IST|URC|HMI|
HMI|LED,|LED|IST|URC|HMI|
HMI|LEJ,|LEJ|IST|URC|HMI|
HMI|LGW,|LGW|IST|URC|HMI|
HMI|LHE,|LHE|IST|URC|HMI|
HMI|LIS,|LIS|IST|URC|HMI|
HMI|LJU,|LJU|IST|URC|HMI|
HMI|LOS,|LOS|IST|URC|HMI|
HMI|LUX,|LUX|IST|URC|HMI|
HMI|LWO,|LWO|IST|URC|HMI|
HMI|LYS,|LYS|IST|URC|HMI|
HMI|MAD,|MAD|IST|URC|HMI|
HMI|MAN,|MAN|IST|URC|HMI|
HMI|MED,|MED|IST|URC|HMI|
HMI|MHD,|MHD|IST|URC|HMI|
HMI|MLA,|MLA|IST|URC|HMI|
HMI|MRS,|MRS|IST|URC|HMI|
HMI|MSQ,|MSQ|IST|URC|HMI|
HMI|MXP,|MXP|IST|URC|HMI|
HMI|MZH,|MZH|IST|URC|HMI|
HMI|MZR,|MZR|IST|URC|HMI|
HMI|NAJ,|NAJ|IST|URC|HMI|
HMI|NAV,|NAV|IST|URC|HMI|
HMI|NCE,|NCE|IST|URC|HMI|
HMI|NIM,|NIM|IST|URC|HMI|
HMI|NJF,|NJF|IST|URC|HMI|
HMI|NSI,|NSI|IST|URC|HMI|
HMI|NUE,|NUE|IST|URC|HMI|
HMI|ODS,|ODS|IST|URC|HMI|
HMI|ORN,|ORN|IST|URC|HMI|
HMI|OTP,|OTP|IST|URC|HMI|
HMI|PRG,|PRG|IST|URC|HMI|
HMI|PRN,|PRN|IST|URC|HMI|
HMI|RIX,|RIX|IST|URC|HMI|
HMI|ROV,|ROV|IST|URC|HMI|
HMI|RTM,|RTM|IST|URC|HMI|
HMI|RUH,|RUH|IST|URC|HMI|
HMI|SAH,|SAH|IST|URC|HMI|
HMI|SJJ,|SJJ|IST|URC|HMI|
HMI|SKG,|SKG|IST|URC|HMI|
HMI|SKP,|SKP|IST|URC|HMI|
HMI|SSH,|SSH|IST|URC|HMI|
HMI|STR,|STR|IST|URC|HMI|
HMI|SVX,|SVX|IST|URC|HMI|
HMI|SYZ,|SYZ|IST|URC|HMI|
HMI|SZG,|SZG|IST|URC|HMI|
HMI|TBZ,|TBZ|IST|URC|HMI|
HMI|TGD,|TGD|IST|URC|HMI|
HMI|TIA,|TIA|IST|URC|HMI|
HMI|TIF,|TIF|IST|URC|HMI|
HMI|TIP,|TIP|IST|URC|HMI|
HMI|TLL,|TLL|IST|URC|HMI|
HMI|TLS,|TLS|IST|URC|HMI|
HMI|TRN,|TRN|IST|URC|HMI|
HMI|TUN,|TUN|IST|URC|HMI|
HMI|TXL,|TXL|IST|URC|HMI|
HMI|UFA,|UFA|IST|URC|HMI|
HMI|VAS,|VAS|SAW|TBS|URC|HMI|
HMI|VCE,|VCE|IST|URC|HMI|
HMI|YNB,|YNB|IST|URC|HMI|
HMI|ZAG,|ZAG|IST|URC|HMI|
