PIA|CTU,|CTU|PEK|ORD|PIA|
PIA|HGH,|HGH|PEK|ORD|PIA|
PIA|XMN,|XMN|PEK|ORD|PIA|
PIA|CGO,|CGO|PEK|ORD|PIA|
PIA|CSX,|CSX|PEK|ORD|PIA|
PIA|SHE,|SHE|PEK|ORD|PIA|
PIA|SJW,|SJW|DLC|PEK|ORD|PIA|
PIA|WUH,|WUH|PEK|ORD|PIA|
PIA|SZX,|SZX|PEK|ORD|PIA|
PIA|CKG,|CKG|PEK|ORD|PIA|
PIA|KMG,|KMG|PEK|ORD|PIA|
PIA|FOC,|FOC|PEK|ORD|PIA|
PIA|NNG,|NNG|PEK|ORD|PIA|
PIA|SWA,|SWA|PEK|ORD|PIA|
PIA|ACX,|ACX|CAN|PEK|ORD|PIA|
PIA|AQG,|AQG|CAN|PEK|ORD|PIA|
PIA|AVA,|AVA|CAN|PEK|ORD|PIA|
PIA|BFJ,|BFJ|CAN|PEK|ORD|PIA|
PIA|BHY,|BHY|CGO|PEK|ORD|PIA|
PIA|BNE,|BNE|CAN|PEK|ORD|PIA|
PIA|CGD,|CGD|PEK|ORD|PIA|
PIA|CGK,|CGK|CAN|PEK|ORD|PIA|
PIA|CGQ,|CGQ|PEK|ORD|PIA|
PIA|CIH,|CIH|PEK|ORD|PIA|
PIA|CNX,|CNX|CAN|PEK|ORD|PIA|
PIA|CZX,|CZX|SHE|PEK|ORD|PIA|
PIA|DAC,|DAC|IST|ORD|PIA|
PIA|DAD,|DAD|CAN|PEK|ORD|PIA|
PIA|DEL,|DEL|EWR|ORD|PIA|
PIA|DIG,|DIG|KMG|PEK|ORD|PIA|
PIA|DLC,|DLC|PEK|ORD|PIA|
PIA|DPS,|DPS|SZX|PEK|ORD|PIA|
PIA|DXB,|DXB|IST|ORD|PIA|
PIA|DYG,|DYG|PEK|ORD|PIA|
PIA|FUG,|FUG|CAN|PEK|ORD|PIA|
PIA|FUK,|FUK|ICN|YVR|ORD|PIA|
PIA|HAK,|HAK|PEK|ORD|PIA|
PIA|HAN,|HAN|PEK|ORD|PIA|
PIA|HDG,|HDG|CAN|PEK|ORD|PIA|
PIA|HET,|HET|DLC|PEK|ORD|PIA|
PIA|HFE,|HFE|XIY|PEK|ORD|PIA|
PIA|HJJ,|HJJ|CSX|PEK|ORD|PIA|
PIA|HKT,|HKT|KWE|PEK|ORD|PIA|
PIA|HRB,|HRB|PEK|ORD|PIA|
PIA|HZH,|HZH|CAN|PEK|ORD|PIA|
PIA|JIU,|JIU|CAN|PEK|ORD|PIA|
PIA|JJN,|JJN|PEK|ORD|PIA|
PIA|JNG,|JNG|CAN|PEK|ORD|PIA|
PIA|KHN,|KHN|DLC|PEK|ORD|PIA|
PIA|KIX,|KIX|SFO|DEN|PIA|
PIA|KOW,|KOW|PEK|ORD|PIA|
PIA|KTM,|KTM|IST|ORD|PIA|
PIA|KUL,|KUL|CAN|PEK|ORD|PIA|
PIA|KWE,|KWE|PEK|ORD|PIA|
PIA|KWL,|KWL|PEK|ORD|PIA|
PIA|LHW,|LHW|CGO|PEK|ORD|PIA|
PIA|LYA,|LYA|KHN|DLC|PEK|ORD|PIA|
PIA|LYG,|LYG|HSN|PEK|ORD|PIA|
PIA|LZH,|LZH|CAN|PEK|ORD|PIA|
PIA|MEL,|MEL|SYD|LAX|DEN|PIA|
PIA|MIG,|MIG|CSX|PEK|ORD|PIA|
PIA|MLE,|MLE|IST|ORD|PIA|
PIA|MNL,|MNL|XMN|PEK|ORD|PIA|
PIA|MXZ,|MXZ|CAN|PEK|ORD|PIA|
PIA|NAO,|NAO|PEK|ORD|PIA|
PIA|NGB,|NGB|PEK|ORD|PIA|
PIA|NKG,|NKG|DLC|PEK|ORD|PIA|
PIA|NNY,|NNY|CGO|PEK|ORD|PIA|
PIA|PEN,|PEN|CAN|PEK|ORD|PIA|
PIA|PER,|PER|CAN|PEK|ORD|PIA|
PIA|PNH,|PNH|CAN|PEK|ORD|PIA|
PIA|REP,|REP|CAN|PEK|ORD|PIA|
PIA|RGN,|RGN|CAN|PEK|ORD|PIA|
PIA|SGN,|SGN|CAN|PEK|ORD|PIA|
PIA|SHA,|SHA|PEK|ORD|PIA|
PIA|SIN,|SIN|HKG|ORD|PIA|
PIA|SVO,|SVO|URC|TSE|FRA|ORD|PIA|
PIA|SYX,|SYX|PEK|ORD|PIA|
PIA|TAO,|TAO|DLC|PEK|ORD|PIA|
PIA|TEN,|TEN|PEK|ORD|PIA|
PIA|TNA,|TNA|DLC|PEK|ORD|PIA|
PIA|TPE,|TPE|PVG|ORD|PIA|
PIA|TSN,|TSN|DLC|PEK|ORD|PIA|
PIA|TXN,|TXN|DLC|PEK|ORD|PIA|
PIA|TYN,|TYN|DAT|CIH|PEK|ORD|PIA|
PIA|WNZ,|WNZ|CGO|PEK|ORD|PIA|
PIA|WUX,|WUX|CAN|PEK|ORD|PIA|
PIA|XFN,|XFN|XMN|PEK|ORD|PIA|
PIA|XIY,|XIY|PEK|ORD|PIA|
PIA|XUZ,|XUZ|LYG|HSN|PEK|ORD|PIA|
PIA|YIH,|YIH|CKG|PEK|ORD|PIA|
PIA|YIW,|YIW|PEK|ORD|PIA|
PIA|YNT,|YNT|SHE|PEK|ORD|PIA|
PIA|YNZ,|YNZ|DLC|PEK|ORD|PIA|
PIA|YTY,|YTY|DLC|PEK|ORD|PIA|
PIA|ZHA,|ZHA|CAN|PEK|ORD|PIA|
PIA|ZYI,|ZYI|PEK|ORD|PIA|
PIA|BAV,|BAV|CGO|PEK|ORD|PIA|
PIA|CJU,|CJU|DLC|PEK|ORD|PIA|
PIA|DSN,|DSN|CGO|PEK|ORD|PIA|
PIA|HMI,|HMI|CGO|PEK|ORD|PIA|
PIA|INC,|INC|PEK|ORD|PIA|
PIA|KHH,|KHH|CGO|PEK|ORD|PIA|
PIA|UYN,|UYN|CGO|PEK|ORD|PIA|
PIA|XNN,|XNN|PEK|ORD|PIA|
PIA|ZUH,|ZUH|PEK|ORD|PIA|
PIA|YNJ,|YNJ|PEK|ORD|PIA|
PIA|DAT,|DAT|CIH|PEK|ORD|PIA|
PIA|JHG,|JHG|CKG|PEK|ORD|PIA|
PIA|LJG,|LJG|CKG|PEK|ORD|PIA|
PIA|LXA,|LXA|XIY|PEK|ORD|PIA|
PIA|YCU,|YCU|CSX|PEK|ORD|PIA|
PIA|LZO,|LZO|CSX|PEK|ORD|PIA|
PIA|MDG,|MDG|ICN|YVR|ORD|PIA|
PIA|NGO,|NGO|ICN|YVR|ORD|PIA|
PIA|TOY,|TOY|DLC|PEK|ORD|PIA|
PIA|MFM,|MFM|XMN|PEK|ORD|PIA|
PIA|TGO,|TGO|HET|DLC|PEK|ORD|PIA|
PIA|XIL,|XIL|HET|DLC|PEK|ORD|PIA|
PIA|HEK,|HEK|HRB|PEK|ORD|PIA|
PIA|KIJ,|KIJ|HRB|PEK|ORD|PIA|
PIA|LDS,|LDS|HRB|PEK|ORD|PIA|
PIA|OHE,|OHE|HRB|PEK|ORD|PIA|
PIA|HSN,|HSN|PEK|ORD|PIA|
PIA|DLU,|DLU|KMG|PEK|ORD|PIA|
PIA|SYM,|SYM|KMG|PEK|ORD|PIA|
PIA|ZAT,|ZAT|KMG|PEK|ORD|PIA|
PIA|LUN,|LUN|NBO|ZRH|ORD|PIA|
PIA|AOG,|AOG|PEK|ORD|PIA|
PIA|GMP,|GMP|PEK|ORD|PIA|
PIA|ISB,|ISB|IST|ORD|PIA|
PIA|TAS,|TAS|IST|ORD|PIA|
PIA|WUS,|WUS|PEK|ORD|PIA|
PIA|JMU,|JMU|PVG|ORD|PIA|
PIA|NDG,|NDG|PVG|ORD|PIA|
PIA|JXA,|JXA|SHE|PEK|ORD|PIA|
PIA|PUS,|PUS|SHE|PEK|ORD|PIA|
PIA|BKI,|BKI|SZX|PEK|ORD|PIA|
PIA|AKU,|AKU|URC|TSE|FRA|ORD|PIA|
PIA|ALA,|ALA|TSE|FRA|ORD|PIA|
PIA|ASB,|ASB|GYD|FRA|ORD|PIA|
PIA|DNH,|DNH|XIY|PEK|ORD|PIA|
PIA|DYU,|DYU|IST|ORD|PIA|
PIA|FRU,|FRU|IST|ORD|PIA|
PIA|GYD,|GYD|FRA|ORD|PIA|
PIA|HTN,|HTN|URC|TSE|FRA|ORD|PIA|
PIA|IKA,|IKA|SAW|VIE|ORD|PIA|
PIA|KCA,|KCA|URC|TSE|FRA|ORD|PIA|
PIA|KHG,|KHG|URC|TSE|FRA|ORD|PIA|
PIA|KRL,|KRL|URC|TSE|FRA|ORD|PIA|
PIA|KRY,|KRY|URC|TSE|FRA|ORD|PIA|
PIA|LBD,|LBD|URC|TSE|FRA|ORD|PIA|
PIA|NLT,|NLT|URC|TSE|FRA|ORD|PIA|
PIA|OSS,|OSS|IST|ORD|PIA|
PIA|OVB,|OVB|IST|ORD|PIA|
PIA|TBS,|TBS|SAW|VIE|ORD|PIA|
PIA|TCG,|TCG|URC|TSE|FRA|ORD|PIA|
PIA|TSE,|TSE|FRA|ORD|PIA|
PIA|YIN,|YIN|URC|TSE|FRA|ORD|PIA|
PIA|ENH,|ENH|WUH|PEK|ORD|PIA|
PIA|ENY,|ENY|XIY|PEK|ORD|PIA|
PIA|WXN,|WXN|XIY|PEK|ORD|PIA|
PIA|BLL,|BLL|IST|ORD|PIA|
PIA|ESB,|ESB|VIE|ORD|PIA|
PIA|SAW,|SAW|VIE|ORD|PIA|
PIA|HAM,|HAM|EWR|ORD|PIA|
PIA|HRE,|HRE|ADD|IST|ORD|PIA|
PIA|JUB,|JUB|CAI|IST|ORD|PIA|
PIA|SSG,|SSG|DLA|BRU|ORD|PIA|
PIA|BGW,|BGW|ESB|VIE|ORD|PIA|
PIA|EBL,|EBL|IST|ORD|PIA|
PIA|VKO,|VKO|IST|ORD|PIA|
PIA|MCT,|MCT|IST|ORD|PIA|
PIA|AYT,|AYT|IST|ORD|PIA|
PIA|SCQ,|SCQ|BIO|IST|ORD|PIA|
PIA|AAL,|AAL|IST|ORD|PIA|
PIA|AOE,|AOE|BRU|ORD|PIA|
PIA|JNB,|JNB|DKR|IAD|ORD|PIA|
PIA|LBV,|LBV|DLA|BRU|ORD|PIA|
PIA|ADA,|ADA|IST|ORD|PIA|
PIA|ADB,|ADB|IST|ORD|PIA|
PIA|ADF,|ADF|ESB|VIE|ORD|PIA|
PIA|AJI,|AJI|ESB|VIE|ORD|PIA|
PIA|BAL,|BAL|ESB|VIE|ORD|PIA|
PIA|BJV,|BJV|IST|ORD|PIA|
PIA|CKZ,|CKZ|ESB|VIE|ORD|PIA|
PIA|DIY,|DIY|ESB|VIE|ORD|PIA|
PIA|ECN,|ECN|IST|ORD|PIA|
PIA|ERC,|ERC|ESB|VIE|ORD|PIA|
PIA|ERZ,|ERZ|ESB|VIE|ORD|PIA|
PIA|EZS,|EZS|ESB|VIE|ORD|PIA|
PIA|GNY,|GNY|ESB|VIE|ORD|PIA|
PIA|GZP,|GZP|ESB|VIE|ORD|PIA|
PIA|GZT,|GZT|ESB|VIE|ORD|PIA|
PIA|HTY,|HTY|IST|ORD|PIA|
PIA|KCM,|KCM|ESB|VIE|ORD|PIA|
PIA|KSY,|KSY|ESB|VIE|ORD|PIA|
PIA|MLX,|MLX|ESB|VIE|ORD|PIA|
PIA|MQM,|MQM|ESB|VIE|ORD|PIA|
PIA|MSR,|MSR|ESB|VIE|ORD|PIA|
PIA|TEQ,|TEQ|ESB|VIE|ORD|PIA|
PIA|TZX,|TZX|ESB|VIE|ORD|PIA|
PIA|VAN,|VAN|ESB|VIE|ORD|PIA|
PIA|ULN,|ULN|FRU|IST|ORD|PIA|
PIA|HIJ,|HIJ|ICN|YVR|ORD|PIA|
PIA|VVO,|VVO|ICN|YVR|ORD|PIA|
PIA|ACC,|ACC|IST|ORD|PIA|
PIA|AER,|AER|IST|ORD|PIA|
PIA|AGP,|AGP|IST|ORD|PIA|
PIA|ALG,|ALG|IST|ORD|PIA|
PIA|AMM,|AMM|IST|ORD|PIA|
PIA|AQJ,|AQJ|IST|ORD|PIA|
PIA|ARN,|ARN|EWR|ORD|PIA|
PIA|ASR,|ASR|SAW|VIE|ORD|PIA|
PIA|ATH,|ATH|IST|ORD|PIA|
PIA|BAH,|BAH|IST|ORD|PIA|
PIA|BEG,|BEG|IST|ORD|PIA|
PIA|BEN,|BEN|IST|ORD|PIA|
PIA|BEY,|BEY|IST|ORD|PIA|
PIA|BHX,|BHX|EWR|ORD|PIA|
PIA|BIO,|BIO|IST|ORD|PIA|
PIA|BLQ,|BLQ|IST|ORD|PIA|
PIA|BOM,|BOM|IST|ORD|PIA|
PIA|BRE,|BRE|IST|ORD|PIA|
PIA|BSL,|BSL|IST|ORD|PIA|
PIA|BSR,|BSR|IST|ORD|PIA|
PIA|BUD,|BUD|IST|ORD|PIA|
PIA|BUS,|BUS|IST|ORD|PIA|
PIA|CAI,|CAI|IST|ORD|PIA|
PIA|CGN,|CGN|IST|ORD|PIA|
PIA|CMN,|CMN|IST|ORD|PIA|
PIA|CND,|CND|IST|ORD|PIA|
PIA|DAR,|DAR|NBO|ZRH|ORD|PIA|
PIA|DLM,|DLM|IST|ORD|PIA|
PIA|DMM,|DMM|IST|ORD|PIA|
PIA|DNK,|DNK|IST|ORD|PIA|
PIA|DNZ,|DNZ|IST|ORD|PIA|
