ABE|YGK,|YGK|YYZ|ORD|ABE|
ABE|YQG,|YQG|YYZ|ORD|ABE|
ABE|YSB,|YSB|YYZ|ORD|ABE|
ABE|YTS,|YTS|YYZ|ORD|ABE|
ABE|YYB,|YYB|YYZ|ORD|ABE|
ABE|YZR,|YZR|YYZ|ORD|ABE|
ABE|CAN,|CAN|PEK|ORD|ABE|
ABE|URC,|URC|TSE|FRA|ORD|ABE|
ABE|CTU,|CTU|PEK|ORD|ABE|
ABE|HGH,|HGH|PEK|ORD|ABE|
ABE|XMN,|XMN|PEK|ORD|ABE|
ABE|CGO,|CGO|PEK|ORD|ABE|
ABE|CSX,|CSX|PEK|ORD|ABE|
ABE|SHE,|SHE|PEK|ORD|ABE|
ABE|SJW,|SJW|DLC|PEK|ORD|ABE|
ABE|WUH,|WUH|PEK|ORD|ABE|
ABE|SZX,|SZX|PEK|ORD|ABE|
ABE|CKG,|CKG|PEK|ORD|ABE|
ABE|KMG,|KMG|PEK|ORD|ABE|
ABE|FOC,|FOC|PEK|ORD|ABE|
ABE|NNG,|NNG|PEK|ORD|ABE|
ABE|SWA,|SWA|PEK|ORD|ABE|
ABE|ACX,|ACX|CAN|PEK|ORD|ABE|
ABE|AQG,|AQG|CAN|PEK|ORD|ABE|
ABE|AVA,|AVA|CAN|PEK|ORD|ABE|
ABE|BFJ,|BFJ|CAN|PEK|ORD|ABE|
ABE|BHY,|BHY|CGO|PEK|ORD|ABE|
ABE|BNE,|BNE|CAN|PEK|ORD|ABE|
ABE|CGD,|CGD|PEK|ORD|ABE|
ABE|CGK,|CGK|CAN|PEK|ORD|ABE|
ABE|CGQ,|CGQ|PEK|ORD|ABE|
ABE|CIH,|CIH|PEK|ORD|ABE|
ABE|CNX,|CNX|CAN|PEK|ORD|ABE|
ABE|CZX,|CZX|SHE|PEK|ORD|ABE|
ABE|DAC,|DAC|IST|ORD|ABE|
ABE|DAD,|DAD|CAN|PEK|ORD|ABE|
ABE|DEL,|DEL|EWR|ORD|ABE|
ABE|DIG,|DIG|KMG|PEK|ORD|ABE|
ABE|DLC,|DLC|PEK|ORD|ABE|
ABE|DPS,|DPS|SZX|PEK|ORD|ABE|
ABE|DXB,|DXB|IST|ORD|ABE|
ABE|DYG,|DYG|PEK|ORD|ABE|
ABE|FUG,|FUG|CAN|PEK|ORD|ABE|
ABE|FUK,|FUK|ICN|YVR|ORD|ABE|
ABE|HAK,|HAK|PEK|ORD|ABE|
ABE|HAN,|HAN|PEK|ORD|ABE|
ABE|HDG,|HDG|CAN|PEK|ORD|ABE|
ABE|HET,|HET|DLC|PEK|ORD|ABE|
ABE|HFE,|HFE|XIY|PEK|ORD|ABE|
ABE|HJJ,|HJJ|CSX|PEK|ORD|ABE|
ABE|HKT,|HKT|KWE|PEK|ORD|ABE|
ABE|HRB,|HRB|PEK|ORD|ABE|
ABE|HZH,|HZH|CAN|PEK|ORD|ABE|
ABE|JIU,|JIU|CAN|PEK|ORD|ABE|
ABE|JJN,|JJN|PEK|ORD|ABE|
ABE|JNG,|JNG|CAN|PEK|ORD|ABE|
ABE|KHN,|KHN|DLC|PEK|ORD|ABE|
ABE|KIX,|KIX|SFO|ORD|ABE|
ABE|KOW,|KOW|PEK|ORD|ABE|
ABE|KTM,|KTM|IST|ORD|ABE|
ABE|KUL,|KUL|CAN|PEK|ORD|ABE|
ABE|KWE,|KWE|PEK|ORD|ABE|
ABE|KWL,|KWL|PEK|ORD|ABE|
ABE|LHW,|LHW|CGO|PEK|ORD|ABE|
ABE|LYA,|LYA|KHN|DLC|PEK|ORD|ABE|
ABE|LYG,|LYG|HSN|PEK|ORD|ABE|
ABE|LZH,|LZH|CAN|PEK|ORD|ABE|
ABE|MEL,|MEL|SYD|LAX|ORD|ABE|
ABE|MIG,|MIG|CSX|PEK|ORD|ABE|
ABE|MLE,|MLE|IST|ORD|ABE|
ABE|MNL,|MNL|XMN|PEK|ORD|ABE|
ABE|MXZ,|MXZ|CAN|PEK|ORD|ABE|
ABE|NAO,|NAO|PEK|ORD|ABE|
ABE|NGB,|NGB|PEK|ORD|ABE|
ABE|NKG,|NKG|DLC|PEK|ORD|ABE|
ABE|NNY,|NNY|CGO|PEK|ORD|ABE|
ABE|PEN,|PEN|CAN|PEK|ORD|ABE|
ABE|PER,|PER|CAN|PEK|ORD|ABE|
ABE|PNH,|PNH|CAN|PEK|ORD|ABE|
ABE|REP,|REP|CAN|PEK|ORD|ABE|
ABE|RGN,|RGN|CAN|PEK|ORD|ABE|
ABE|SGN,|SGN|CAN|PEK|ORD|ABE|
ABE|SHA,|SHA|PEK|ORD|ABE|
ABE|SIN,|SIN|HKG|ORD|ABE|
ABE|SVO,|SVO|URC|TSE|FRA|ORD|ABE|
ABE|SYX,|SYX|PEK|ORD|ABE|
ABE|TAO,|TAO|DLC|PEK|ORD|ABE|
ABE|TEN,|TEN|PEK|ORD|ABE|
ABE|TNA,|TNA|DLC|PEK|ORD|ABE|
ABE|TPE,|TPE|PVG|ORD|ABE|
ABE|TSN,|TSN|DLC|PEK|ORD|ABE|
ABE|TXN,|TXN|DLC|PEK|ORD|ABE|
ABE|TYN,|TYN|DAT|CIH|PEK|ORD|ABE|
ABE|WNZ,|WNZ|CGO|PEK|ORD|ABE|
ABE|WUX,|WUX|CAN|PEK|ORD|ABE|
ABE|XFN,|XFN|XMN|PEK|ORD|ABE|
ABE|XIY,|XIY|PEK|ORD|ABE|
ABE|XUZ,|XUZ|LYG|HSN|PEK|ORD|ABE|
ABE|YIH,|YIH|CKG|PEK|ORD|ABE|
ABE|YIW,|YIW|PEK|ORD|ABE|
ABE|YNT,|YNT|SHE|PEK|ORD|ABE|
ABE|YNZ,|YNZ|DLC|PEK|ORD|ABE|
ABE|YTY,|YTY|DLC|PEK|ORD|ABE|
ABE|ZHA,|ZHA|CAN|PEK|ORD|ABE|
ABE|ZYI,|ZYI|PEK|ORD|ABE|
ABE|BAV,|BAV|CGO|PEK|ORD|ABE|
ABE|CJU,|CJU|DLC|PEK|ORD|ABE|
ABE|DSN,|DSN|CGO|PEK|ORD|ABE|
ABE|HMI,|HMI|CGO|PEK|ORD|ABE|
ABE|INC,|INC|PEK|ORD|ABE|
ABE|KHH,|KHH|CGO|PEK|ORD|ABE|
ABE|UYN,|UYN|CGO|PEK|ORD|ABE|
ABE|XNN,|XNN|PEK|ORD|ABE|
ABE|ZUH,|ZUH|PEK|ORD|ABE|
ABE|YNJ,|YNJ|PEK|ORD|ABE|
ABE|DAT,|DAT|CIH|PEK|ORD|ABE|
ABE|JHG,|JHG|CKG|PEK|ORD|ABE|
ABE|LJG,|LJG|CKG|PEK|ORD|ABE|
ABE|LXA,|LXA|XIY|PEK|ORD|ABE|
ABE|YCU,|YCU|CSX|PEK|ORD|ABE|
ABE|LZO,|LZO|CSX|PEK|ORD|ABE|
ABE|MDG,|MDG|ICN|YVR|ORD|ABE|
ABE|NGO,|NGO|ICN|YVR|ORD|ABE|
ABE|TOY,|TOY|DLC|PEK|ORD|ABE|
ABE|MFM,|MFM|XMN|PEK|ORD|ABE|
ABE|TGO,|TGO|HET|DLC|PEK|ORD|ABE|
ABE|XIL,|XIL|HET|DLC|PEK|ORD|ABE|
ABE|HEK,|HEK|HRB|PEK|ORD|ABE|
ABE|KIJ,|KIJ|HRB|PEK|ORD|ABE|
ABE|LDS,|LDS|HRB|PEK|ORD|ABE|
ABE|OHE,|OHE|HRB|PEK|ORD|ABE|
ABE|HSN,|HSN|PEK|ORD|ABE|
ABE|DLU,|DLU|KMG|PEK|ORD|ABE|
ABE|SYM,|SYM|KMG|PEK|ORD|ABE|
ABE|ZAT,|ZAT|KMG|PEK|ORD|ABE|
ABE|LUN,|LUN|NBO|ZRH|ORD|ABE|
ABE|AOG,|AOG|PEK|ORD|ABE|
ABE|GMP,|GMP|PEK|ORD|ABE|
ABE|ISB,|ISB|IST|ORD|ABE|
ABE|TAS,|TAS|IST|ORD|ABE|
ABE|WUS,|WUS|PEK|ORD|ABE|
ABE|JMU,|JMU|PVG|ORD|ABE|
ABE|NDG,|NDG|PVG|ORD|ABE|
ABE|JXA,|JXA|SHE|PEK|ORD|ABE|
ABE|PUS,|PUS|SHE|PEK|ORD|ABE|
ABE|BKI,|BKI|SZX|PEK|ORD|ABE|
ABE|AKU,|AKU|URC|TSE|FRA|ORD|ABE|
ABE|ALA,|ALA|TSE|FRA|ORD|ABE|
ABE|ASB,|ASB|GYD|FRA|ORD|ABE|
ABE|DNH,|DNH|XIY|PEK|ORD|ABE|
ABE|DYU,|DYU|IST|ORD|ABE|
ABE|FRU,|FRU|IST|ORD|ABE|
ABE|GYD,|GYD|FRA|ORD|ABE|
ABE|HTN,|HTN|URC|TSE|FRA|ORD|ABE|
ABE|IKA,|IKA|SAW|VIE|ORD|ABE|
ABE|KCA,|KCA|URC|TSE|FRA|ORD|ABE|
ABE|KHG,|KHG|URC|TSE|FRA|ORD|ABE|
ABE|KRL,|KRL|URC|TSE|FRA|ORD|ABE|
ABE|KRY,|KRY|URC|TSE|FRA|ORD|ABE|
ABE|LBD,|LBD|URC|TSE|FRA|ORD|ABE|
ABE|NLT,|NLT|URC|TSE|FRA|ORD|ABE|
ABE|OSS,|OSS|IST|ORD|ABE|
ABE|OVB,|OVB|IST|ORD|ABE|
ABE|TBS,|TBS|SAW|VIE|ORD|ABE|
ABE|TCG,|TCG|URC|TSE|FRA|ORD|ABE|
ABE|TSE,|TSE|FRA|ORD|ABE|
ABE|YIN,|YIN|URC|TSE|FRA|ORD|ABE|
ABE|ENH,|ENH|WUH|PEK|ORD|ABE|
ABE|ENY,|ENY|XIY|PEK|ORD|ABE|
ABE|WXN,|WXN|XIY|PEK|ORD|ABE|
ABE|BLL,|BLL|IST|ORD|ABE|
ABE|ESB,|ESB|VIE|ORD|ABE|
ABE|SAW,|SAW|VIE|ORD|ABE|
ABE|HAM,|HAM|EWR|ORD|ABE|
ABE|HRE,|HRE|ADD|IST|ORD|ABE|
ABE|JUB,|JUB|CAI|IST|ORD|ABE|
ABE|SSG,|SSG|DLA|BRU|ORD|ABE|
ABE|BGW,|BGW|ESB|VIE|ORD|ABE|
ABE|EBL,|EBL|IST|ORD|ABE|
ABE|VKO,|VKO|IST|ORD|ABE|
ABE|MCT,|MCT|IST|ORD|ABE|
ABE|AYT,|AYT|IST|ORD|ABE|
ABE|SCQ,|SCQ|BIO|IST|ORD|ABE|
ABE|AAL,|AAL|IST|ORD|ABE|
ABE|AOE,|AOE|BRU|ORD|ABE|
ABE|JNB,|JNB|DKR|IAD|ORD|ABE|
ABE|LBV,|LBV|DLA|BRU|ORD|ABE|
ABE|ADA,|ADA|IST|ORD|ABE|
ABE|ADB,|ADB|IST|ORD|ABE|
ABE|ADF,|ADF|ESB|VIE|ORD|ABE|
ABE|AJI,|AJI|ESB|VIE|ORD|ABE|
ABE|BAL,|BAL|ESB|VIE|ORD|ABE|
ABE|BJV,|BJV|IST|ORD|ABE|
ABE|CKZ,|CKZ|ESB|VIE|ORD|ABE|
ABE|DIY,|DIY|ESB|VIE|ORD|ABE|
ABE|ECN,|ECN|IST|ORD|ABE|
ABE|ERC,|ERC|ESB|VIE|ORD|ABE|
ABE|ERZ,|ERZ|ESB|VIE|ORD|ABE|
ABE|EZS,|EZS|ESB|VIE|ORD|ABE|
ABE|GNY,|GNY|ESB|VIE|ORD|ABE|
ABE|GZP,|GZP|ESB|VIE|ORD|ABE|
ABE|GZT,|GZT|ESB|VIE|ORD|ABE|
ABE|HTY,|HTY|IST|ORD|ABE|
ABE|KCM,|KCM|ESB|VIE|ORD|ABE|
ABE|KSY,|KSY|ESB|VIE|ORD|ABE|
ABE|MLX,|MLX|ESB|VIE|ORD|ABE|
ABE|MQM,|MQM|ESB|VIE|ORD|ABE|
ABE|MSR,|MSR|ESB|VIE|ORD|ABE|
ABE|TEQ,|TEQ|ESB|VIE|ORD|ABE|
